asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
HNG,2019-05-06,Capital Goods,24850000.0,22970000.0,38.18,,,0.57,1.0,0.53,7.67
HNG,2019-05-07,Capital Goods,24850000.0,22970000.0,38.18,,,0.57,1.0,0.53,7.67
HNG,2019-05-08,Capital Goods,24850000.0,24460000.0,38.18,,,0.57,1.0,0.56,8.16
HNG,2019-05-09,Capital Goods,24850000.0,24460000.0,38.18,,,0.57,1.0,0.56,8.16
HNG,2019-05-10,Capital Goods,24850000.0,24460000.0,38.18,,,0.57,1.0,0.56,8.16
HNG,2019-05-13,Capital Goods,24850000.0,24460000.0,38.18,,,0.57,1.0,0.56,8.16
HNG,2019-05-14,Capital Goods,20710000.0,24460000.0,31.82,,,0.48,0.84,0.56,8.16
HNG,2019-05-15,Capital Goods,21300000.0,24460000.0,32.73,,,0.49,0.86,0.56,8.16
HNG,2019-05-16,Capital Goods,21300000.0,24460000.0,32.73,,,0.49,0.86,0.56,8.16
HNG,2019-05-17,Capital Goods,21300000.0,20900000.0,32.73,,,0.49,0.86,0.48,6.98
HNG,2019-05-20,Capital Goods,21890000.0,20900000.0,33.64,,,0.5,0.88,0.48,6.98
HNG,2019-05-21,Capital Goods,21890000.0,21490000.0,33.64,,,0.5,0.88,0.5,7.17
HNG,2019-05-22,Capital Goods,21890000.0,21490000.0,33.64,,,0.5,0.88,0.5,7.17
HNG,2019-05-23,Capital Goods,22480000.0,21490000.0,34.55,,,0.52,0.91,0.5,7.17
