asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
IAU,2019-05-06,Materials,16940000.0,-8350000.0,,,,,0.27,,4.36
IAU,2019-05-07,Materials,16940000.0,-8350000.0,,,,,0.27,,4.36
IAU,2019-05-08,Materials,16940000.0,-8350000.0,,,,,0.27,,4.36
IAU,2019-05-09,Materials,17190000.0,-8350000.0,,,,,0.27,,4.36
IAU,2019-05-10,Materials,16940000.0,-8280000.0,,,,,0.27,,4.32
IAU,2019-05-15,Materials,17440000.0,-8010000.0,,,,,0.27,,4.18
IAU,2019-05-20,Materials,25500000.0,18080000.0,,,,215.45,2.81,152.76,-5.28
IAU,2019-05-21,Materials,25500000.0,18080000.0,,,,215.45,2.81,152.76,-5.28
IAU,2019-05-22,Materials,25500000.0,18080000.0,,,,215.45,2.81,152.76,-5.28
IAU,2019-05-23,Materials,25500000.0,18080000.0,,,,215.45,2.81,152.76,-5.28
IAU,2019-06-03,Materials,22500000.0,18080000.0,,,,190.1,2.48,152.76,-5.28
IAU,2019-06-04,Materials,23250000.0,18080000.0,,,,196.44,2.56,152.76,-5.28
IAU,2019-06-05,Materials,23250000.0,18080000.0,,,,196.44,2.56,152.76,-5.28
IAU,2019-06-06,Materials,23620000.0,15830000.0,,,,199.61,2.6,133.75,-4.62
