asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
IGO,2019-05-06,Materials,2590000000.0,2610000000.0,51.05,,,3.34,1.45,3.37,7.62
IGO,2019-05-07,Materials,2700000000.0,2610000000.0,53.26,,,3.49,1.52,3.37,7.62
IGO,2019-05-08,Materials,2700000000.0,2590000000.0,53.26,,,3.49,1.52,3.33,7.55
IGO,2019-05-09,Materials,2690000000.0,2590000000.0,52.91,,,3.46,1.51,3.33,7.55
IGO,2019-05-10,Materials,2690000000.0,2570000000.0,52.91,,,3.46,1.51,3.31,7.5
IGO,2019-05-13,Materials,2700000000.0,2570000000.0,53.14,,,3.48,1.51,3.31,7.5
IGO,2019-05-14,Materials,2690000000.0,2580000000.0,53.02,,,3.47,1.51,3.33,7.54
IGO,2019-05-15,Materials,2750000000.0,2580000000.0,54.19,,,3.55,1.54,3.33,7.54
IGO,2019-05-16,Materials,2820000000.0,2580000000.0,55.47,,,3.63,1.58,3.33,7.54
IGO,2019-05-17,Materials,2860000000.0,2700000000.0,56.4,,,3.69,1.61,3.48,7.88
IGO,2019-05-20,Materials,2850000000.0,2750000000.0,56.16,,,3.68,1.6,3.54,8.02
IGO,2019-05-21,Materials,2860000000.0,2730000000.0,56.4,,,3.69,1.61,3.53,7.98
IGO,2019-05-22,Materials,2860000000.0,2730000000.0,56.28,,,3.68,1.6,3.53,7.98
IGO,2019-05-23,Materials,2790000000.0,2730000000.0,54.88,,,3.59,1.56,3.53,7.98
IGO,2019-05-27,Materials,2780000000.0,2670000000.0,54.65,,,3.58,1.56,3.44,7.79
IGO,2019-05-28,Materials,2790000000.0,2670000000.0,54.88,,,3.59,1.56,3.44,7.79
IGO,2019-05-29,Materials,2750000000.0,2670000000.0,54.07,,,3.54,1.54,3.44,7.79
IGO,2019-05-30,Materials,2670000000.0,2670000000.0,52.56,,,3.44,1.5,3.44,7.79
IGO,2019-06-01,Materials,2630000000.0,2670000000.0,51.86,,,3.39,1.48,3.44,7.79
IGO,2019-06-03,Materials,2560000000.0,2520000000.0,50.47,,,3.3,1.44,3.24,7.35
IGO,2019-06-04,Materials,2600000000.0,2520000000.0,51.16,,,3.35,1.46,3.24,7.35
IGO,2019-06-05,Materials,2590000000.0,2520000000.0,50.93,,,3.33,1.45,3.24,7.35
IGO,2019-06-06,Materials,2530000000.0,2480000000.0,49.77,,,3.26,1.42,3.2,7.24
