asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
IMD,2019-05-06,Materials,390190000.0,380240000.0,16.89,,,1.63,1.91,1.59,8.03
IMD,2019-05-07,Materials,397770000.0,380240000.0,17.21,,,1.67,1.95,1.59,8.03
IMD,2019-05-08,Materials,407240000.0,374600000.0,17.62,,,1.7,1.99,1.57,7.91
IMD,2019-05-09,Materials,401550000.0,374600000.0,17.38,,,1.68,1.97,1.57,7.91
IMD,2019-05-10,Materials,395870000.0,378360000.0,17.13,,,1.66,1.94,1.58,7.99
IMD,2019-05-13,Materials,399660000.0,372720000.0,17.3,,,1.67,1.96,1.56,7.87
IMD,2019-05-14,Materials,386400000.0,376480000.0,16.72,,,1.62,1.89,1.58,7.95
IMD,2019-05-15,Materials,390190000.0,376480000.0,16.89,,,1.63,1.91,1.58,7.95
IMD,2019-05-16,Materials,401550000.0,376480000.0,17.38,,,1.68,1.97,1.58,7.95
IMD,2019-05-17,Materials,403450000.0,378360000.0,17.46,,,1.69,1.98,1.58,7.99
IMD,2019-05-20,Materials,401550000.0,380240000.0,17.38,,,1.68,1.97,1.59,8.03
IMD,2019-05-21,Materials,416710000.0,378360000.0,18.03,,,1.74,2.04,1.58,7.99
IMD,2019-05-22,Materials,409130000.0,378360000.0,17.7,,,1.71,2.0,1.58,7.99
IMD,2019-05-23,Materials,409130000.0,378360000.0,17.7,,,1.71,2.0,1.58,7.99
IMD,2019-05-27,Materials,397770000.0,385890000.0,17.21,,,1.67,1.95,1.62,8.15
IMD,2019-05-28,Materials,397770000.0,385890000.0,17.21,,,1.67,1.95,1.62,8.15
IMD,2019-05-29,Materials,388300000.0,385890000.0,16.8,,,1.63,1.9,1.62,8.15
IMD,2019-05-30,Materials,390190000.0,385890000.0,16.89,,,1.63,1.91,1.62,8.15
IMD,2019-06-01,Materials,386400000.0,385890000.0,16.72,,,1.62,1.89,1.62,8.15
IMD,2019-06-03,Materials,371250000.0,363310000.0,16.07,,,1.55,1.82,1.52,7.68
IMD,2019-06-04,Materials,367460000.0,363310000.0,15.9,,,1.54,1.8,1.52,7.68
IMD,2019-06-05,Materials,367460000.0,363310000.0,15.9,,,1.54,1.8,1.52,7.68
IMD,2019-06-06,Materials,369350000.0,344500000.0,15.98,,,1.55,1.81,1.44,7.28
