asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
IMM,2019-05-06,"Pharmaceuticals, Biotechnology & Life Sciences",91360000.0,71440000.0,,,,18.65,2.7,14.59,-4.92
IMM,2019-05-07,"Pharmaceuticals, Biotechnology & Life Sciences",91360000.0,71440000.0,,,,18.65,2.7,14.59,-4.92
IMM,2019-05-08,"Pharmaceuticals, Biotechnology & Life Sciences",98120000.0,71440000.0,,,,20.04,2.9,14.59,-4.92
IMM,2019-05-09,"Pharmaceuticals, Biotechnology & Life Sciences",101510000.0,71440000.0,,,,20.73,3.0,14.59,-4.92
IMM,2019-05-10,"Pharmaceuticals, Biotechnology & Life Sciences",94740000.0,81470000.0,,,,19.34,2.8,16.64,-5.61
IMM,2019-05-13,"Pharmaceuticals, Biotechnology & Life Sciences",94740000.0,74780000.0,,,,19.34,2.8,15.27,-5.15
IMM,2019-05-14,"Pharmaceuticals, Biotechnology & Life Sciences",98120000.0,74780000.0,,,,20.04,2.9,15.27,-5.15
IMM,2019-05-15,"Pharmaceuticals, Biotechnology & Life Sciences",98120000.0,74780000.0,,,,20.04,2.9,15.27,-5.15
IMM,2019-05-16,"Pharmaceuticals, Biotechnology & Life Sciences",98120000.0,74780000.0,,,,20.04,2.9,15.27,-5.15
IMM,2019-05-17,"Pharmaceuticals, Biotechnology & Life Sciences",101510000.0,78130000.0,,,,20.73,3.0,15.95,-5.38
IMM,2019-05-20,"Pharmaceuticals, Biotechnology & Life Sciences",94740000.0,81470000.0,,,,19.34,2.8,16.64,-5.61
IMM,2019-05-21,"Pharmaceuticals, Biotechnology & Life Sciences",98120000.0,74780000.0,,,,20.04,2.9,15.27,-5.15
IMM,2019-05-22,"Pharmaceuticals, Biotechnology & Life Sciences",98120000.0,74780000.0,,,,20.04,2.9,15.27,-5.15
IMM,2019-05-23,"Pharmaceuticals, Biotechnology & Life Sciences",98120000.0,74780000.0,,,,20.04,2.9,15.27,-5.15
IMM,2019-05-27,"Pharmaceuticals, Biotechnology & Life Sciences",94740000.0,78130000.0,,,,19.34,2.8,15.95,-5.38
IMM,2019-05-28,"Pharmaceuticals, Biotechnology & Life Sciences",94740000.0,78130000.0,,,,19.34,2.8,15.95,-5.38
IMM,2019-05-29,"Pharmaceuticals, Biotechnology & Life Sciences",94740000.0,78130000.0,,,,19.34,2.8,15.95,-5.38
IMM,2019-05-30,"Pharmaceuticals, Biotechnology & Life Sciences",91360000.0,78130000.0,,,,18.65,2.7,15.95,-5.38
IMM,2019-06-01,"Pharmaceuticals, Biotechnology & Life Sciences",91360000.0,78130000.0,,,,18.65,2.7,15.95,-5.38
IMM,2019-06-03,"Pharmaceuticals, Biotechnology & Life Sciences",91360000.0,71440000.0,,,,18.65,2.7,14.59,-4.92
IMM,2019-06-04,"Pharmaceuticals, Biotechnology & Life Sciences",91360000.0,71440000.0,,,,18.65,2.7,14.59,-4.92
IMM,2019-06-05,"Pharmaceuticals, Biotechnology & Life Sciences",87970000.0,71440000.0,,,,17.96,2.6,14.59,-4.92
IMM,2019-06-06,"Pharmaceuticals, Biotechnology & Life Sciences",91490000.0,71440000.0,,,,18.68,2.7,14.59,-4.92
