asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
ING,2019-05-06,"Food, Beverage & Tobacco",1590000000.0,1870000000.0,12.19,,,0.66,8.75,0.77,9.92
ING,2019-05-07,"Food, Beverage & Tobacco",1620000000.0,1870000000.0,12.45,,,0.67,8.94,0.77,9.92
ING,2019-05-08,"Food, Beverage & Tobacco",1620000000.0,1900000000.0,12.42,,,0.67,8.92,0.78,10.06
ING,2019-05-09,"Food, Beverage & Tobacco",1600000000.0,1900000000.0,12.28,,,0.66,8.81,0.78,10.06
ING,2019-05-10,"Food, Beverage & Tobacco",1610000000.0,1870000000.0,12.31,,,0.66,8.83,0.77,9.94
ING,2019-05-13,"Food, Beverage & Tobacco",1600000000.0,1880000000.0,12.28,,,0.66,8.81,0.77,9.96
ING,2019-05-14,"Food, Beverage & Tobacco",1600000000.0,1870000000.0,12.28,,,0.66,8.81,0.77,9.94
ING,2019-05-15,"Food, Beverage & Tobacco",1640000000.0,1870000000.0,12.56,,,0.68,9.02,0.77,9.94
ING,2019-05-16,"Food, Beverage & Tobacco",1640000000.0,1870000000.0,12.54,,,0.67,9.0,0.77,9.94
ING,2019-05-17,"Food, Beverage & Tobacco",1670000000.0,1910000000.0,12.82,,,0.69,9.2,0.79,10.12
ING,2019-05-20,"Food, Beverage & Tobacco",1690000000.0,1950000000.0,12.96,,,0.7,9.3,0.8,10.32
ING,2019-05-21,"Food, Beverage & Tobacco",1680000000.0,1970000000.0,12.85,,,0.69,9.22,0.81,10.42
ING,2019-05-22,"Food, Beverage & Tobacco",1660000000.0,1970000000.0,12.74,,,0.69,9.14,0.81,10.42
ING,2019-05-23,"Food, Beverage & Tobacco",1670000000.0,1970000000.0,12.79,,,0.69,9.18,0.81,10.42
ING,2019-05-27,"Food, Beverage & Tobacco",1630000000.0,1940000000.0,12.51,,,0.67,8.98,0.8,10.3
ING,2019-05-28,"Food, Beverage & Tobacco",1630000000.0,1940000000.0,12.48,,,0.67,8.96,0.8,10.3
ING,2019-05-29,"Food, Beverage & Tobacco",1620000000.0,1940000000.0,12.39,,,0.67,8.9,0.8,10.3
ING,2019-05-30,"Food, Beverage & Tobacco",1580000000.0,1940000000.0,12.14,,,0.65,8.71,0.8,10.3
ING,2019-06-01,"Food, Beverage & Tobacco",1560000000.0,1940000000.0,11.97,,,0.64,8.59,0.8,10.3
ING,2019-06-03,"Food, Beverage & Tobacco",1540000000.0,1830000000.0,11.79,,,0.63,8.47,0.76,9.72
ING,2019-06-04,"Food, Beverage & Tobacco",1550000000.0,1830000000.0,11.85,,,0.64,8.51,0.76,9.72
ING,2019-06-05,"Food, Beverage & Tobacco",1540000000.0,1830000000.0,11.79,,,0.63,8.47,0.76,9.72
ING,2019-06-06,"Food, Beverage & Tobacco",1520000000.0,1820000000.0,11.62,,,0.63,8.34,0.75,9.64
