asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
IPB,2019-05-13,Energy,7410000.0,6770000.0,,,,617699.56,2.18,563870.19,-15.99
IPB,2019-05-14,Energy,7410000.0,6770000.0,,,,617699.56,2.18,563870.19,-15.99
IPB,2019-05-15,Energy,7610000.0,6770000.0,,,,634394.19,2.24,563870.19,-15.99
IPB,2019-05-16,Energy,7610000.0,6770000.0,,,,634394.19,2.24,563870.19,-15.99
IPB,2019-05-17,Energy,7610000.0,6970000.0,,,,634394.19,2.24,580564.81,-16.47
IPB,2019-05-20,Energy,8520000.0,6970000.0,,,,709602.44,2.24,580564.81,-16.47
IPB,2019-05-21,Energy,8520000.0,6970000.0,,,,709602.44,2.24,580564.81,-16.47
IPB,2019-05-22,Energy,8520000.0,6970000.0,,,,709602.44,2.24,580564.81,-16.47
IPB,2019-05-23,Energy,8520000.0,6970000.0,,,,709602.44,2.24,580564.81,-16.47
IPB,2019-05-27,Energy,8520000.0,6970000.0,,,,709602.44,2.24,580564.81,-16.47
IPB,2019-05-28,Energy,8290000.0,6970000.0,,,,690928.75,2.18,580564.81,-16.47
IPB,2019-05-29,Energy,8290000.0,6970000.0,,,,690928.75,2.18,580564.81,-16.47
IPB,2019-05-30,Energy,8530000.0,6970000.0,,,,711140.0,2.18,580564.81,-16.47
IPB,2019-06-01,Energy,8740000.0,6970000.0,,,,728276.25,2.29,580564.81,-16.47
IPB,2019-06-03,Energy,8070000.0,7170000.0,,,,672700.0,2.06,597259.38,-16.94
IPB,2019-06-04,Energy,8300000.0,7170000.0,,,,691919.94,2.12,597259.38,-16.94
IPB,2019-06-05,Energy,8070000.0,7170000.0,,,,672700.0,2.06,597259.38,-16.94
IPB,2019-06-06,Energy,8300000.0,6570000.0,,,,691919.94,2.12,547175.56,-15.52
