asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
IPH,2019-05-06,Commercial & Professional Services,1360000000.0,1390000000.0,30.18,,,5.52,4.96,5.65,18.65
IPH,2019-05-07,Commercial & Professional Services,1370000000.0,1360000000.0,30.44,,,5.57,5.0,5.53,18.25
IPH,2019-05-08,Commercial & Professional Services,1380000000.0,1360000000.0,30.61,,,5.6,5.03,5.53,18.25
IPH,2019-05-09,Commercial & Professional Services,1390000000.0,1360000000.0,30.92,,,5.66,5.08,5.53,18.25
IPH,2019-05-10,Commercial & Professional Services,1380000000.0,1380000000.0,30.61,,,5.6,5.03,5.61,18.52
IPH,2019-05-13,Commercial & Professional Services,1360000000.0,1380000000.0,30.26,,,5.54,4.97,5.61,18.52
IPH,2019-05-14,Commercial & Professional Services,1370000000.0,1380000000.0,30.44,,,5.57,5.0,5.61,18.52
IPH,2019-05-15,Commercial & Professional Services,1380000000.0,1370000000.0,30.57,,,5.59,5.03,5.58,18.41
IPH,2019-05-16,Commercial & Professional Services,1410000000.0,1380000000.0,31.36,,,5.74,5.16,5.61,18.49
IPH,2019-05-17,Commercial & Professional Services,1420000000.0,1380000000.0,31.49,,,5.76,5.18,5.61,18.49
IPH,2019-05-20,Commercial & Professional Services,1410000000.0,1420000000.0,31.32,,,5.73,5.15,5.77,19.05
IPH,2019-05-21,Commercial & Professional Services,1390000000.0,1420000000.0,30.83,,,5.64,5.07,5.77,19.05
IPH,2019-05-22,Commercial & Professional Services,1380000000.0,1420000000.0,30.61,,,5.6,5.03,5.77,19.05
IPH,2019-05-23,Commercial & Professional Services,1380000000.0,1420000000.0,30.7,,,5.62,5.05,5.77,19.05
IPH,2019-05-27,Commercial & Professional Services,1350000000.0,1380000000.0,30.09,,,5.5,4.95,5.63,18.57
IPH,2019-05-28,Commercial & Professional Services,1370000000.0,1380000000.0,30.44,,,5.57,5.0,5.63,18.57
IPH,2019-05-29,Commercial & Professional Services,1370000000.0,1380000000.0,30.35,,,5.55,4.99,5.63,18.57
IPH,2019-05-30,Commercial & Professional Services,1330000000.0,1380000000.0,29.52,,,5.4,4.85,5.63,18.57
IPH,2019-06-01,Commercial & Professional Services,1350000000.0,1380000000.0,29.96,,,5.48,4.92,5.63,18.57
IPH,2019-06-03,Commercial & Professional Services,1290000000.0,1350000000.0,28.68,,,5.25,4.72,5.49,18.12
IPH,2019-06-04,Commercial & Professional Services,1270000000.0,1350000000.0,28.33,,,5.18,4.66,5.49,18.12
IPH,2019-06-05,Commercial & Professional Services,1310000000.0,1280000000.0,29.04,,,5.31,4.77,5.2,17.14
IPH,2019-06-06,Commercial & Professional Services,1330000000.0,1280000000.0,29.56,,,5.41,4.86,5.2,17.14
