asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
IVO,2019-05-06,Media & Entertainment,7980000.0,15950000.0,,,,3.45,,6.89,-2.09
IVO,2019-05-07,Media & Entertainment,7980000.0,15950000.0,,,,3.45,,6.89,-2.09
IVO,2019-05-08,Media & Entertainment,7980000.0,15950000.0,,,,3.45,,6.89,-2.09
IVO,2019-05-09,Media & Entertainment,7980000.0,15950000.0,,,,3.45,,6.89,-2.09
IVO,2019-05-10,Media & Entertainment,7980000.0,14680000.0,,,,3.45,,6.34,-1.93
IVO,2019-05-13,Media & Entertainment,7980000.0,14680000.0,,,,3.45,,6.34,-1.93
IVO,2019-05-14,Media & Entertainment,7980000.0,14680000.0,,,,3.45,,6.34,-1.93
IVO,2019-05-15,Media & Entertainment,7980000.0,14680000.0,,,,3.45,,6.34,-1.93
IVO,2019-05-16,Media & Entertainment,7980000.0,14680000.0,,,,3.45,,6.34,-1.93
IVO,2019-05-17,Media & Entertainment,7980000.0,14680000.0,,,,3.45,,6.34,-1.93
IVO,2019-05-27,Media & Entertainment,10640000.0,14680000.0,,,,4.59,,6.34,-1.93
IVO,2019-05-28,Media & Entertainment,7980000.0,14680000.0,,,,3.45,,6.34,-1.93
IVO,2019-05-29,Media & Entertainment,15970000.0,14680000.0,,,,6.89,,6.34,-1.93
IVO,2019-05-30,Media & Entertainment,15970000.0,14680000.0,,,,6.89,,6.34,-1.93
IVO,2019-06-01,Media & Entertainment,13310000.0,14680000.0,,,,5.74,,6.34,-1.93
IVO,2019-06-03,Media & Entertainment,13930000.0,19760000.0,,,,6.01,,8.53,-2.59
IVO,2019-06-04,Media & Entertainment,13930000.0,19760000.0,,,,6.01,,8.53,-2.59
IVO,2019-06-05,Media & Entertainment,13930000.0,19760000.0,,,,6.01,,8.53,-2.59
IVO,2019-06-06,Media & Entertainment,13930000.0,19760000.0,,,,6.01,,8.53,-2.59
