asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
JAT,2019-05-06,Retailing,45510000.0,61070000.0,,,,1.46,2.85,1.96,
JAT,2019-05-07,Retailing,45510000.0,61070000.0,,,,1.46,2.85,1.96,
JAT,2019-05-08,Retailing,46310000.0,59500000.0,,,,1.48,2.9,1.91,
JAT,2019-05-09,Retailing,47910000.0,59500000.0,,,,1.53,3.0,1.91,
JAT,2019-05-10,Retailing,47910000.0,61860000.0,,,,1.53,3.0,1.98,
JAT,2019-05-13,Retailing,46310000.0,61860000.0,,,,1.48,2.9,1.98,
JAT,2019-05-14,Retailing,45510000.0,60290000.0,,,,1.46,2.85,1.93,
JAT,2019-05-15,Retailing,47110000.0,60290000.0,,,,1.51,2.95,1.93,
JAT,2019-05-16,Retailing,46310000.0,60290000.0,,,,1.48,2.9,1.93,
JAT,2019-05-17,Retailing,46310000.0,60290000.0,,,,1.48,2.9,1.93,
JAT,2019-05-20,Retailing,47110000.0,60290000.0,,,,1.51,2.95,1.93,
JAT,2019-05-21,Retailing,46310000.0,61070000.0,,,,1.48,2.9,1.96,
JAT,2019-05-22,Retailing,45510000.0,61070000.0,,,,1.46,2.85,1.96,
JAT,2019-05-23,Retailing,45510000.0,61070000.0,,,,1.46,2.85,1.96,
JAT,2019-05-27,Retailing,45510000.0,59500000.0,,,,1.46,2.85,1.91,
JAT,2019-05-28,Retailing,45510000.0,59500000.0,,,,1.46,2.85,1.91,
JAT,2019-05-29,Retailing,46310000.0,59500000.0,,,,1.48,2.9,1.91,
JAT,2019-05-30,Retailing,44720000.0,59500000.0,,,,1.43,2.8,1.91,
JAT,2019-06-01,Retailing,43920000.0,59500000.0,,,,1.41,2.75,1.91,
JAT,2019-06-03,Retailing,43920000.0,57930000.0,,,,1.41,2.75,1.86,
JAT,2019-06-04,Retailing,42320000.0,57930000.0,,,,1.36,2.65,1.86,
JAT,2019-06-05,Retailing,43120000.0,57930000.0,,,,1.38,2.7,1.86,
JAT,2019-06-06,Retailing,43920000.0,57930000.0,,,,1.41,2.75,1.86,
