asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
JIN,2019-05-06,Consumer Services,1020000000.0,932350000.0,49.01,,,20.02,14.09,18.3,35.6
JIN,2019-05-07,Consumer Services,997090000.0,932350000.0,47.91,,,19.57,13.78,18.3,35.6
JIN,2019-05-08,Consumer Services,992740000.0,887280000.0,47.7,,,19.48,13.72,17.41,33.88
JIN,2019-05-09,Consumer Services,1010000000.0,887280000.0,48.6,,,19.85,13.97,17.41,33.88
JIN,2019-05-10,Consumer Services,1020000000.0,901100000.0,48.99,,,20.0,14.09,17.68,34.41
JIN,2019-05-13,Consumer Services,1030000000.0,908920000.0,49.25,,,20.11,14.16,17.84,34.71
JIN,2019-05-14,Consumer Services,1030000000.0,914320000.0,49.4,,,20.18,14.21,17.94,34.91
JIN,2019-05-15,Consumer Services,1040000000.0,914320000.0,50.12,,,20.47,14.41,17.94,34.91
JIN,2019-05-16,Consumer Services,1080000000.0,914320000.0,51.7,,,21.11,14.87,17.94,34.91
JIN,2019-05-17,Consumer Services,1100000000.0,963610000.0,52.66,,,21.5,15.14,18.91,36.79
JIN,2019-05-20,Consumer Services,1080000000.0,982840000.0,51.73,,,21.13,14.88,19.29,37.53
JIN,2019-05-21,Consumer Services,1080000000.0,964210000.0,51.79,,,21.15,14.89,18.92,36.82
JIN,2019-05-22,Consumer Services,1110000000.0,964210000.0,53.16,,,21.71,15.29,18.92,36.82
JIN,2019-05-23,Consumer Services,1090000000.0,964210000.0,52.24,,,21.33,15.02,18.92,36.82
JIN,2019-05-27,Consumer Services,1060000000.0,974420000.0,51.13,,,20.88,14.7,19.12,37.21
JIN,2019-05-28,Consumer Services,1090000000.0,974420000.0,52.6,,,21.48,15.12,19.12,37.21
JIN,2019-05-29,Consumer Services,1150000000.0,974420000.0,55.37,,,22.61,15.92,19.12,37.21
JIN,2019-05-30,Consumer Services,1120000000.0,974420000.0,53.73,,,21.94,15.45,19.12,37.21
JIN,2019-06-01,Consumer Services,1120000000.0,974420000.0,53.73,,,21.94,15.45,19.12,37.21
JIN,2019-06-03,Consumer Services,1050000000.0,1000000000.0,50.33,,,20.55,14.47,19.71,38.35
JIN,2019-06-04,Consumer Services,1000000000.0,1000000000.0,48.09,,,19.64,13.83,19.71,38.35
JIN,2019-06-05,Consumer Services,1030000000.0,1000000000.0,49.55,,,20.24,14.25,19.71,38.35
JIN,2019-06-06,Consumer Services,1060000000.0,890890000.0,50.75,,,20.72,14.59,17.48,34.02
