asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
KIN,2019-05-06,Materials,27370000.0,24670000.0,,,,610.64,1.59,550.48,-1.98
KIN,2019-05-07,Materials,27370000.0,24670000.0,,,,610.64,1.59,550.48,-1.98
KIN,2019-05-08,Materials,33100000.0,20700000.0,,,,738.67,1.92,461.84,-1.66
KIN,2019-05-09,Materials,31780000.0,20700000.0,,,,709.12,1.85,461.84,-1.66
KIN,2019-05-10,Materials,31780000.0,20700000.0,,,,709.12,1.85,461.84,-1.66
KIN,2019-05-13,Materials,31780000.0,25110000.0,,,,709.12,1.85,560.33,-2.02
KIN,2019-05-14,Materials,31780000.0,25110000.0,,,,709.12,1.85,560.33,-2.02
KIN,2019-05-15,Materials,31780000.0,25110000.0,,,,709.12,1.85,560.33,-2.02
KIN,2019-05-16,Materials,31780000.0,25110000.0,,,,709.12,1.85,560.33,-2.02
KIN,2019-05-17,Materials,31340000.0,25110000.0,,,,699.28,1.82,560.33,-2.02
KIN,2019-05-20,Materials,28250000.0,24670000.0,,,,630.33,1.64,550.48,-1.98
KIN,2019-05-21,Materials,28250000.0,21580000.0,,,,630.33,1.64,481.54,-1.74
KIN,2019-05-22,Materials,29130000.0,21580000.0,,,,650.03,1.69,481.54,-1.74
KIN,2019-05-23,Materials,30900000.0,21580000.0,,,,689.43,1.79,481.54,-1.74
KIN,2019-05-27,Materials,28690000.0,24230000.0,,,,640.18,1.67,540.64,-1.95
KIN,2019-05-28,Materials,28690000.0,24230000.0,,,,640.18,1.67,540.64,-1.95
KIN,2019-05-29,Materials,27370000.0,24230000.0,,,,610.64,1.59,540.64,-1.95
KIN,2019-05-30,Materials,27370000.0,24230000.0,,,,610.64,1.59,540.64,-1.95
KIN,2019-06-01,Materials,27370000.0,24230000.0,,,,610.64,1.59,540.64,-1.95
