asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
KOV,2019-05-06,Capital Goods,29690000.0,26240000.0,15.06,,,0.52,0.98,0.46,6.23
KOV,2019-05-07,Capital Goods,29690000.0,26240000.0,15.06,,,0.52,0.98,0.46,6.23
KOV,2019-05-08,Capital Goods,29580000.0,26680000.0,15.0,,,0.52,0.98,0.47,6.33
KOV,2019-05-09,Capital Goods,29580000.0,26680000.0,15.0,,,0.52,0.98,0.47,6.33
KOV,2019-05-10,Capital Goods,29580000.0,26570000.0,15.0,,,0.52,0.98,0.47,6.31
KOV,2019-05-13,Capital Goods,28570000.0,26570000.0,14.49,,,0.5,0.94,0.47,6.31
KOV,2019-05-14,Capital Goods,28340000.0,25570000.0,14.38,,,0.5,0.94,0.45,6.07
KOV,2019-05-15,Capital Goods,28340000.0,25570000.0,14.38,,,0.5,0.94,0.45,6.07
KOV,2019-05-16,Capital Goods,28790000.0,25570000.0,14.6,,,0.51,0.95,0.45,6.07
KOV,2019-05-17,Capital Goods,28790000.0,25790000.0,14.6,,,0.51,0.95,0.46,6.12
KOV,2019-05-20,Capital Goods,29130000.0,25790000.0,14.77,,,0.51,0.96,0.46,6.12
KOV,2019-05-21,Capital Goods,29130000.0,26120000.0,14.77,,,0.51,0.96,0.46,6.2
KOV,2019-05-22,Capital Goods,29350000.0,26120000.0,14.89,,,0.52,0.97,0.46,6.2
KOV,2019-05-23,Capital Goods,29130000.0,26120000.0,14.77,,,0.51,0.96,0.46,6.2
KOV,2019-06-03,Capital Goods,28570000.0,27240000.0,14.49,,,0.5,0.94,0.48,6.47
KOV,2019-06-04,Capital Goods,30140000.0,27240000.0,15.28,,,0.53,1.0,0.48,6.47
KOV,2019-06-05,Capital Goods,29800000.0,27240000.0,15.11,,,0.53,0.99,0.48,6.47
KOV,2019-06-06,Capital Goods,29800000.0,27130000.0,15.11,,,0.53,0.99,0.48,6.44
