asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
KTE,2019-05-13,Semiconductors & Semiconductor Equipment,1800000.0,1240000.0,,,,362.02,0.86,248.61,
KTE,2019-05-14,Semiconductors & Semiconductor Equipment,1500000.0,1240000.0,,,,301.68,0.71,248.61,
KTE,2019-05-15,Semiconductors & Semiconductor Equipment,1500000.0,1240000.0,,,,301.68,0.71,248.61,
KTE,2019-05-16,Semiconductors & Semiconductor Equipment,1500000.0,1240000.0,,,,301.68,0.71,248.61,
KTE,2019-05-17,Semiconductors & Semiconductor Equipment,1500000.0,938140.0,,,,301.68,0.71,188.27,
KTE,2019-05-20,Semiconductors & Semiconductor Equipment,1500000.0,938140.0,,,,301.68,0.71,188.27,
KTE,2019-05-21,Semiconductors & Semiconductor Equipment,1500000.0,938140.0,,,,301.68,0.71,188.27,
KTE,2019-05-22,Semiconductors & Semiconductor Equipment,1800000.0,938140.0,,,,362.02,0.86,188.27,
KTE,2019-05-23,Semiconductors & Semiconductor Equipment,1800000.0,938140.0,,,,362.02,0.86,188.27,
KTE,2019-05-27,Semiconductors & Semiconductor Equipment,1800000.0,1240000.0,,,,362.02,0.86,248.61,
KTE,2019-05-28,Semiconductors & Semiconductor Equipment,1800000.0,1240000.0,,,,362.02,0.86,248.61,
KTE,2019-05-29,Semiconductors & Semiconductor Equipment,1800000.0,1240000.0,,,,362.02,0.86,248.61,
KTE,2019-05-30,Semiconductors & Semiconductor Equipment,1800000.0,1240000.0,,,,362.02,0.86,248.61,
KTE,2019-06-01,Semiconductors & Semiconductor Equipment,1800000.0,1240000.0,,,,362.02,0.86,248.61,
