asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
LAU,2019-05-06,Transportation,106870000.0,216470000.0,12.86,,,0.29,1.14,0.58,6.06
LAU,2019-05-07,Transportation,108350000.0,216470000.0,13.04,,,0.29,1.16,0.58,6.06
LAU,2019-05-08,Transportation,108350000.0,217950000.0,13.04,,,0.29,1.16,0.58,6.1
LAU,2019-05-09,Transportation,106870000.0,217950000.0,12.86,,,0.29,1.14,0.58,6.1
LAU,2019-05-10,Transportation,105380000.0,216470000.0,12.68,,,0.28,1.13,0.58,6.06
LAU,2019-05-13,Transportation,106870000.0,214990000.0,12.86,,,0.29,1.14,0.57,6.02
LAU,2019-05-14,Transportation,103900000.0,216470000.0,12.5,,,0.28,1.11,0.58,6.06
LAU,2019-05-15,Transportation,103900000.0,216470000.0,12.5,,,0.28,1.11,0.58,6.06
LAU,2019-05-16,Transportation,102420000.0,216470000.0,12.32,,,0.27,1.1,0.58,6.06
LAU,2019-05-17,Transportation,102420000.0,212040000.0,12.32,,,0.27,1.1,0.57,5.94
LAU,2019-05-20,Transportation,105380000.0,212040000.0,12.68,,,0.28,1.13,0.57,5.94
LAU,2019-05-21,Transportation,106870000.0,214990000.0,12.86,,,0.29,1.14,0.57,6.02
LAU,2019-05-22,Transportation,106870000.0,214990000.0,12.86,,,0.29,1.14,0.57,6.02
LAU,2019-05-23,Transportation,106870000.0,214990000.0,12.86,,,0.29,1.14,0.57,6.02
LAU,2019-05-27,Transportation,103900000.0,216470000.0,12.5,,,0.28,1.11,0.58,6.06
LAU,2019-05-28,Transportation,105380000.0,216470000.0,12.68,,,0.28,1.13,0.58,6.06
LAU,2019-05-29,Transportation,105380000.0,216470000.0,12.68,,,0.28,1.13,0.58,6.06
LAU,2019-05-30,Transportation,102420000.0,216470000.0,12.32,,,0.27,1.1,0.58,6.06
LAU,2019-06-01,Transportation,102420000.0,216470000.0,12.32,,,0.27,1.1,0.58,6.06
LAU,2019-06-03,Transportation,103900000.0,212040000.0,12.5,,,0.28,1.11,0.57,5.94
LAU,2019-06-04,Transportation,102420000.0,212040000.0,12.32,,,0.27,1.1,0.57,5.94
LAU,2019-06-05,Transportation,103900000.0,212040000.0,12.5,,,0.28,1.11,0.57,5.94
LAU,2019-06-06,Transportation,100930000.0,212040000.0,12.14,,,0.27,1.08,0.57,5.94
