asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
LBT,2019-05-06,Health Care Equipment & Services,16680000.0,11170000.0,,,,2.67,0.61,1.78,-4.93
LBT,2019-05-07,Health Care Equipment & Services,16680000.0,11170000.0,,,,2.67,0.61,1.78,-4.93
LBT,2019-05-08,Health Care Equipment & Services,16680000.0,10970000.0,,,,2.67,0.61,1.75,-4.84
LBT,2019-05-09,Health Care Equipment & Services,16680000.0,10970000.0,,,,2.67,0.61,1.75,-4.84
LBT,2019-05-10,Health Care Equipment & Services,16480000.0,10970000.0,,,,2.63,0.6,1.75,-4.84
LBT,2019-05-13,Health Care Equipment & Services,14470000.0,10770000.0,,,,2.31,0.53,1.72,-4.75
LBT,2019-05-14,Health Care Equipment & Services,14060000.0,8760000.0,,,,2.25,0.51,1.4,-3.86
LBT,2019-05-15,Health Care Equipment & Services,13460000.0,8760000.0,,,,2.15,0.49,1.4,-3.86
LBT,2019-05-16,Health Care Equipment & Services,14060000.0,8760000.0,,,,2.25,0.51,1.4,-3.86
LBT,2019-05-17,Health Care Equipment & Services,14060000.0,8350000.0,,,,2.25,0.51,1.34,-3.68
LBT,2019-05-20,Health Care Equipment & Services,14060000.0,8350000.0,,,,2.25,0.51,1.34,-3.68
LBT,2019-05-21,Health Care Equipment & Services,33150000.0,8350000.0,,,,5.3,1.2,1.34,-3.68
LBT,2019-05-22,Health Care Equipment & Services,28130000.0,8350000.0,,,,4.5,1.02,1.34,-3.68
LBT,2019-05-23,Health Care Equipment & Services,32150000.0,8350000.0,,,,5.14,1.17,1.34,-3.68
LBT,2019-05-27,Health Care Equipment & Services,39180000.0,26440000.0,,,,6.26,1.42,4.22,-11.66
LBT,2019-05-28,Health Care Equipment & Services,40190000.0,26440000.0,,,,6.42,1.46,4.22,-11.66
LBT,2019-05-29,Health Care Equipment & Services,35160000.0,26440000.0,,,,5.62,1.28,4.22,-11.66
LBT,2019-05-30,Health Care Equipment & Services,37170000.0,26440000.0,,,,5.94,1.35,4.22,-11.66
LBT,2019-06-01,Health Care Equipment & Services,33150000.0,26440000.0,,,,5.3,1.2,4.22,-11.66
LBT,2019-06-03,Health Care Equipment & Services,33150000.0,27440000.0,,,,5.3,1.2,4.39,-12.1
LBT,2019-06-04,Health Care Equipment & Services,33150000.0,27440000.0,,,,5.3,1.2,4.39,-12.1
LBT,2019-06-05,Health Care Equipment & Services,30140000.0,27440000.0,,,,4.82,1.09,4.39,-12.1
LBT,2019-06-06,Health Care Equipment & Services,29130000.0,27440000.0,,,,4.66,1.06,4.39,-12.1
