asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
LCM,2019-05-06,Capital Goods,13980000.0,17130000.0,,,,0.17,0.88,0.21,80.23
LCM,2019-05-07,Capital Goods,13570000.0,17130000.0,,,,0.17,0.85,0.21,80.23
LCM,2019-05-08,Capital Goods,13160000.0,17130000.0,,,,0.16,0.83,0.21,80.23
LCM,2019-05-09,Capital Goods,13160000.0,17130000.0,,,,0.16,0.83,0.21,80.23
LCM,2019-05-10,Capital Goods,13570000.0,17130000.0,,,,0.17,0.85,0.21,80.23
LCM,2019-05-15,Capital Goods,13570000.0,16310000.0,,,,0.17,0.85,0.2,76.39
LCM,2019-05-20,Capital Goods,12340000.0,15490000.0,,,,0.15,0.78,0.19,72.56
LCM,2019-05-21,Capital Goods,13160000.0,15490000.0,,,,0.16,0.83,0.19,72.56
LCM,2019-05-22,Capital Goods,12750000.0,15490000.0,,,,0.16,0.8,0.19,72.56
LCM,2019-05-23,Capital Goods,13980000.0,15490000.0,,,,0.17,0.88,0.19,72.56
LCM,2019-05-27,Capital Goods,16450000.0,17130000.0,,,,0.2,1.04,0.21,80.23
LCM,2019-05-28,Capital Goods,16450000.0,17130000.0,,,,0.2,1.04,0.21,80.23
LCM,2019-05-29,Capital Goods,16450000.0,17130000.0,,,,0.2,1.04,0.21,80.23
LCM,2019-05-30,Capital Goods,15210000.0,17130000.0,,,,0.19,0.96,0.21,80.23
LCM,2019-06-01,Capital Goods,15210000.0,17130000.0,,,,0.19,0.96,0.21,80.23
LCM,2019-06-03,Capital Goods,15210000.0,18360000.0,,,,0.19,0.96,0.23,85.99
LCM,2019-06-04,Capital Goods,15210000.0,18360000.0,,,,0.19,0.96,0.23,85.99
LCM,2019-06-05,Capital Goods,16450000.0,18360000.0,,,,0.2,1.04,0.23,85.99
LCM,2019-06-06,Capital Goods,15210000.0,18360000.0,,,,0.19,0.96,0.23,85.99
