asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
LPD,2019-05-06,Materials,127530000.0,119540000.0,,,,1417053.75,4.22,1328237.88,-31.93
LPD,2019-05-07,Materials,127530000.0,15710000.0,3.17,,,11.44,0.12,1.41,9.07
LPD,2019-05-08,Materials,107400000.0,15710000.0,2.67,,,9.63,0.1,1.41,9.07
LPD,2019-05-09,Materials,110750000.0,15160000.0,2.75,,,9.93,0.1,1.36,8.75
LPD,2019-05-10,Materials,107400000.0,15160000.0,2.67,,,9.63,0.1,1.36,8.75
LPD,2019-05-15,Materials,97330000.0,15440000.0,2.42,,,8.73,0.09,1.38,8.91
LPD,2019-05-20,Materials,93970000.0,15440000.0,2.33,,,8.43,0.09,1.38,8.91
LPD,2019-05-21,Materials,93970000.0,16260000.0,2.33,,,8.43,0.09,1.46,9.39
LPD,2019-05-22,Materials,97330000.0,16260000.0,2.42,,,8.73,0.09,1.46,9.39
LPD,2019-05-23,Materials,97330000.0,16260000.0,2.42,,,8.73,0.09,1.46,9.39
LPD,2019-05-27,Materials,97330000.0,15160000.0,2.42,,,8.73,0.09,1.36,8.75
LPD,2019-05-28,Materials,93970000.0,15160000.0,2.33,,,8.43,0.09,1.36,8.75
LPD,2019-05-29,Materials,93970000.0,15160000.0,2.33,,,8.43,0.09,1.36,8.75
LPD,2019-05-30,Materials,93970000.0,15160000.0,2.33,,,8.43,0.09,1.36,8.75
LPD,2019-06-01,Materials,100690000.0,15160000.0,2.5,,,9.03,0.09,1.36,8.75
LPD,2019-06-03,Materials,100690000.0,15990000.0,2.5,,,9.03,0.09,1.43,9.23
LPD,2019-06-04,Materials,104040000.0,15990000.0,2.58,,,9.33,0.1,1.43,9.23
LPD,2019-06-05,Materials,100690000.0,96050000.0,,,,1118726.62,3.33,1067202.0,-25.65
LPD,2019-06-06,Materials,93970000.0,15710000.0,2.33,,,8.43,0.09,1.41,9.07
