asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
LSX,2019-05-06,Not Applic,51050000.0,49850000.0,3.91,,,3.6,0.78,3.52,3.95
LSX,2019-05-07,Not Applic,51050000.0,49850000.0,3.91,,,3.6,0.78,3.52,3.95
LSX,2019-05-08,Not Applic,51800000.0,49850000.0,3.97,,,3.66,0.79,3.52,3.95
LSX,2019-05-09,Not Applic,,49850000.0,,,,,,3.52,3.95
LSX,2019-05-10,Not Applic,48040000.0,46840000.0,3.68,,,3.39,0.73,3.31,3.71
LSX,2019-05-13,Not Applic,48040000.0,46840000.0,3.68,,,3.39,0.73,3.31,3.71
LSX,2019-05-14,Not Applic,48040000.0,46840000.0,3.68,,,3.39,0.73,3.31,3.71
LSX,2019-05-15,Not Applic,48040000.0,46840000.0,3.68,,,3.39,0.73,3.31,3.71
LSX,2019-05-16,Not Applic,48040000.0,46840000.0,3.68,,,3.39,0.73,3.31,3.71
LSX,2019-05-17,Not Applic,48040000.0,46840000.0,3.68,,,3.39,0.73,3.31,3.71
LSX,2019-05-27,Not Applic,51800000.0,46840000.0,3.97,,,3.66,0.79,3.31,3.71
LSX,2019-05-28,Not Applic,52550000.0,46840000.0,4.02,,,3.71,0.8,3.31,3.71
LSX,2019-05-29,Not Applic,52550000.0,46840000.0,4.02,,,3.71,0.8,3.31,3.71
LSX,2019-05-30,Not Applic,52550000.0,46840000.0,4.02,,,3.71,0.8,3.31,3.71
LSX,2019-06-01,Not Applic,52550000.0,46840000.0,4.02,,,3.71,0.8,3.31,3.71
LSX,2019-06-03,Not Applic,51800000.0,51350000.0,3.97,,,3.66,0.79,3.62,4.07
LSX,2019-06-04,Not Applic,51050000.0,51350000.0,3.91,,,3.6,0.78,3.62,4.07
LSX,2019-06-05,Not Applic,51050000.0,51350000.0,3.91,,,3.6,0.78,3.62,4.07
LSX,2019-06-06,Not Applic,49540000.0,49850000.0,3.79,,,3.5,0.75,3.52,3.95
