asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
MAY,2019-05-06,Energy,24380000.0,9790000.0,,,,,2.17,,-6.16
MAY,2019-05-07,Energy,26260000.0,,,,,,,,
MAY,2019-05-08,Energy,24380000.0,,,,,,,,
MAY,2019-05-09,Energy,24380000.0,,,,,,,,
MAY,2019-05-10,Energy,24380000.0,9790000.0,,,,,2.17,,-6.16
MAY,2019-05-13,Energy,24380000.0,9790000.0,,,,,2.17,,-6.16
MAY,2019-05-14,Energy,24380000.0,,,,,,,,
MAY,2019-05-15,Energy,22510000.0,,,,,,,,
MAY,2019-05-16,Energy,24380000.0,,,,,,,,
MAY,2019-05-17,Energy,24380000.0,9790000.0,,,,,2.17,,-6.16
MAY,2019-05-20,Energy,26260000.0,9790000.0,,,,,2.33,,-6.16
MAY,2019-05-21,Energy,24380000.0,9790000.0,,,,,2.17,,-6.16
MAY,2019-05-22,Energy,24380000.0,,,,,,,,
MAY,2019-05-23,Energy,24380000.0,9790000.0,,,,,2.17,,-6.16
MAY,2019-05-27,Energy,22510000.0,,,,,,,,
MAY,2019-05-28,Energy,22510000.0,,,,,,,,
MAY,2019-05-29,Energy,22510000.0,9790000.0,,,,,2.0,,-6.16
MAY,2019-05-30,Energy,22510000.0,9790000.0,,,,,2.0,,-6.16
MAY,2019-06-01,Energy,22510000.0,,,,,,,,
MAY,2019-06-03,Energy,20630000.0,9790000.0,,,,,1.83,,-6.16
MAY,2019-06-04,Energy,20630000.0,,,,,,,,
MAY,2019-06-05,Energy,20630000.0,9790000.0,,,,,1.83,,-6.16
MAY,2019-06-06,Energy,20630000.0,9790000.0,,,,,1.83,,-6.16
