asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
MEC,2019-05-06,Diversified Financials,47090000.0,,,,,,,,
MEC,2019-05-07,Diversified Financials,47360000.0,,,,,,,,
MEC,2019-05-08,Diversified Financials,46830000.0,,,,,,,,
MEC,2019-05-09,Diversified Financials,46830000.0,,,,,,,,
MEC,2019-05-10,Diversified Financials,46830000.0,,,,,,,,
MEC,2019-05-13,Diversified Financials,47090000.0,,,,,,,,
MEC,2019-05-14,Diversified Financials,46310000.0,,,,,,,,
MEC,2019-05-15,Diversified Financials,46830000.0,,,,,,,,
MEC,2019-05-16,Diversified Financials,46570000.0,,,,,,,,
MEC,2019-05-17,Diversified Financials,47090000.0,,,,,,,,
MEC,2019-05-20,Diversified Financials,47360000.0,,,,,,,,
MEC,2019-05-21,Diversified Financials,48150000.0,,,,,,,,
MEC,2019-05-22,Diversified Financials,47360000.0,,,,,,,,
MEC,2019-05-23,Diversified Financials,47360000.0,,,,,,,,
MEC,2019-05-27,Diversified Financials,47090000.0,,,,,,,,
MEC,2019-05-28,Diversified Financials,47090000.0,,,,,,,,
MEC,2019-05-29,Diversified Financials,46830000.0,,,,,,,,
MEC,2019-05-30,Diversified Financials,47880000.0,,,,,,,,
MEC,2019-06-01,Diversified Financials,47090000.0,,,,,,,,
MEC,2019-06-03,Diversified Financials,47090000.0,,,,,,,,
MEC,2019-06-04,Diversified Financials,47090000.0,,,,,,,,
MEC,2019-06-05,Diversified Financials,46570000.0,,,,,,,,
MEC,2019-06-06,Diversified Financials,47090000.0,,,,,,,,
