asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
MEP,2019-05-06,Materials,13640000.0,11860000.0,,,,58.0,1.36,50.43,-7.04
MEP,2019-05-07,Materials,14250000.0,11860000.0,,,,60.57,1.42,50.43,-7.04
MEP,2019-05-08,Materials,13040000.0,12470000.0,,,,55.42,1.3,53.0,-7.4
MEP,2019-05-09,Materials,12730000.0,12470000.0,,,,54.13,1.27,53.0,-7.4
MEP,2019-05-10,Materials,12730000.0,10950000.0,,,,54.13,1.27,46.56,-6.5
MEP,2019-05-15,Materials,12730000.0,10950000.0,,,,54.13,1.27,46.56,-6.5
MEP,2019-05-27,Materials,13040000.0,11250000.0,,,,55.42,1.3,47.85,-6.68
MEP,2019-05-28,Materials,14410000.0,11250000.0,,,,61.27,1.33,47.85,-6.68
MEP,2019-05-29,Materials,13760000.0,11250000.0,,,,58.48,1.27,47.85,-6.68
MEP,2019-05-30,Materials,14410000.0,11250000.0,,,,61.27,1.33,47.85,-6.68
MEP,2019-06-01,Materials,13760000.0,11250000.0,,,,58.48,1.27,47.85,-6.68
MEP,2019-06-03,Materials,14080000.0,10950000.0,,,,59.87,1.3,46.56,-6.5
MEP,2019-06-04,Materials,14080000.0,10950000.0,,,,59.87,1.3,46.56,-6.5
MEP,2019-06-05,Materials,14080000.0,10950000.0,,,,59.87,1.3,46.56,-6.5
MEP,2019-06-06,Materials,13430000.0,10950000.0,,,,57.09,1.24,46.56,-6.5
