asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
MGU,2019-05-06,Materials,22370000.0,23420000.0,,,,1155.46,13.33,1209.85,-17.04
MGU,2019-05-07,Materials,22370000.0,23420000.0,,,,1155.46,13.33,1209.85,-17.04
MGU,2019-05-08,Materials,22370000.0,22300000.0,,,,1155.46,13.33,1152.08,-16.22
MGU,2019-05-09,Materials,22370000.0,22300000.0,,,,1155.46,13.33,1152.08,-16.22
MGU,2019-05-10,Materials,20970000.0,22300000.0,,,,1083.25,12.5,1152.08,-16.22
MGU,2019-05-13,Materials,19570000.0,20900000.0,,,,1011.03,11.67,1079.87,-15.21
MGU,2019-05-14,Materials,19570000.0,19510000.0,,,,1011.03,11.67,1007.65,-14.19
MGU,2019-05-15,Materials,18450000.0,19510000.0,,,,953.26,11.0,1007.65,-14.19
MGU,2019-05-16,Materials,20130000.0,19510000.0,,,,1039.92,12.0,1007.65,-14.19
MGU,2019-05-17,Materials,20690000.0,20060000.0,,,,1068.8,12.33,1036.54,-14.6
MGU,2019-05-20,Materials,20690000.0,20620000.0,,,,1068.8,12.33,1065.42,-15.0
MGU,2019-05-21,Materials,20690000.0,20620000.0,,,,1068.8,12.33,1065.42,-15.0
MGU,2019-05-22,Materials,20690000.0,20620000.0,,,,1068.8,12.33,1065.42,-15.0
MGU,2019-05-23,Materials,19850000.0,20620000.0,,,,1025.47,11.83,1065.42,-15.0
MGU,2019-05-27,Materials,20970000.0,20620000.0,,,,1083.25,12.5,1065.42,-15.0
MGU,2019-05-28,Materials,22650000.0,20620000.0,,,,1169.91,13.5,1065.42,-15.0
MGU,2019-05-29,Materials,22650000.0,20620000.0,,,,1169.91,13.5,1065.42,-15.0
MGU,2019-05-30,Materials,22650000.0,20620000.0,,,,1169.91,13.5,1065.42,-15.0
MGU,2019-06-01,Materials,22650000.0,20620000.0,,,,1169.91,13.5,1065.42,-15.0
MGU,2019-06-03,Materials,22650000.0,22580000.0,,,,1169.91,13.5,1166.53,-16.43
MGU,2019-06-04,Materials,22090000.0,22580000.0,,,,1141.02,13.17,1166.53,-16.43
MGU,2019-06-05,Materials,21250000.0,22580000.0,,,,1097.69,12.67,1166.53,-16.43
MGU,2019-06-06,Materials,21250000.0,22020000.0,,,,1097.69,12.67,1137.64,-16.02
