asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
MLT,2019-05-06,Not Applic,2990000000.0,2860000000.0,22.02,,,20.89,1.13,19.98,20.58
MLT,2019-05-07,Not Applic,3000000000.0,2860000000.0,22.12,,,20.98,1.14,19.98,20.58
MLT,2019-05-08,Not Applic,3000000000.0,2860000000.0,22.07,,,20.94,1.14,19.98,20.58
MLT,2019-05-09,Not Applic,3000000000.0,2860000000.0,22.07,,,20.94,1.14,19.98,20.58
MLT,2019-05-10,Not Applic,3000000000.0,2850000000.0,22.12,,,20.98,1.14,19.93,20.53
MLT,2019-05-13,Not Applic,3000000000.0,2860000000.0,22.07,,,20.94,1.14,19.98,20.58
MLT,2019-05-14,Not Applic,2980000000.0,2850000000.0,21.92,,,20.8,1.13,19.93,20.53
MLT,2019-05-15,Not Applic,3000000000.0,2850000000.0,22.12,,,20.98,1.14,19.93,20.53
MLT,2019-05-16,Not Applic,3000000000.0,2850000000.0,22.07,,,20.94,1.14,19.93,20.53
MLT,2019-05-17,Not Applic,3000000000.0,2850000000.0,22.12,,,20.98,1.14,19.93,20.53
MLT,2019-05-20,Not Applic,3090000000.0,2860000000.0,22.76,,,21.59,1.17,19.98,20.58
MLT,2019-05-21,Not Applic,3100000000.0,2860000000.0,22.86,,,21.68,1.18,19.98,20.58
MLT,2019-05-22,Not Applic,3110000000.0,2950000000.0,22.91,,,21.73,1.18,20.58,21.2
MLT,2019-05-23,Not Applic,3110000000.0,2950000000.0,22.91,,,21.73,1.18,20.58,21.2
MLT,2019-05-27,Not Applic,3090000000.0,2930000000.0,22.76,,,21.59,1.17,20.49,21.1
MLT,2019-05-28,Not Applic,3110000000.0,2930000000.0,22.91,,,21.73,1.18,20.49,21.1
MLT,2019-05-29,Not Applic,3100000000.0,2930000000.0,22.81,,,21.64,1.17,20.49,21.1
MLT,2019-05-30,Not Applic,3060000000.0,2930000000.0,22.51,,,21.36,1.16,20.49,21.1
MLT,2019-06-01,Not Applic,3070000000.0,2930000000.0,22.61,,,21.45,1.16,20.49,21.1
MLT,2019-06-03,Not Applic,3060000000.0,2930000000.0,22.56,,,21.4,1.16,20.44,21.05
MLT,2019-06-04,Not Applic,3080000000.0,2930000000.0,22.66,,,21.5,1.17,20.44,21.05
MLT,2019-06-05,Not Applic,3080000000.0,2930000000.0,22.71,,,21.54,1.17,20.44,21.05
MLT,2019-06-06,Not Applic,3080000000.0,2930000000.0,22.71,,,21.54,1.17,20.49,21.1
