asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
MOD,2019-05-06,Materials,94160000.0,73210000.0,,,,,1.65,,-12.51
MOD,2019-05-07,Materials,91120000.0,73210000.0,,,,,1.6,,-12.51
MOD,2019-05-08,Materials,92640000.0,69480000.0,,,,,1.62,,-11.87
MOD,2019-05-09,Materials,94160000.0,69480000.0,,,,,1.65,,-11.87
MOD,2019-05-10,Materials,91120000.0,71970000.0,,,,,1.6,,-12.3
MOD,2019-05-13,Materials,92640000.0,69480000.0,,,,,1.62,,-11.87
MOD,2019-05-14,Materials,89600000.0,70730000.0,,,,,1.57,,-12.08
MOD,2019-05-15,Materials,88080000.0,70730000.0,,,,,1.54,,-12.08
MOD,2019-05-16,Materials,86570000.0,70730000.0,,,,,1.52,,-12.08
MOD,2019-05-17,Materials,88080000.0,65760000.0,,,,,1.54,,-11.23
MOD,2019-05-20,Materials,88080000.0,67000000.0,,,,,1.54,,-11.45
MOD,2019-05-21,Materials,88080000.0,67000000.0,,,,,1.54,,-11.45
MOD,2019-05-22,Materials,86570000.0,67000000.0,,,,,1.52,,-11.45
MOD,2019-05-23,Materials,92640000.0,67000000.0,,,,,1.62,,-11.45
MOD,2019-05-27,Materials,89600000.0,65760000.0,,,,,1.57,,-11.23
MOD,2019-05-28,Materials,91120000.0,65760000.0,,,,,1.6,,-11.23
MOD,2019-05-29,Materials,89600000.0,65760000.0,,,,,1.57,,-11.23
MOD,2019-05-30,Materials,91120000.0,65760000.0,,,,,1.6,,-11.23
MOD,2019-06-01,Materials,103270000.0,65760000.0,,,,,1.81,,-11.23
MOD,2019-06-03,Materials,91120000.0,79430000.0,,,,,1.6,,-13.57
MOD,2019-06-04,Materials,91120000.0,79430000.0,,,,,1.6,,-13.57
MOD,2019-06-05,Materials,91120000.0,79430000.0,,,,,1.6,,-13.57
MOD,2019-06-06,Materials,94160000.0,69480000.0,,,,,1.65,,-11.87
