asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
MOY,2019-05-06,Materials,102490000.0,91560000.0,,,,0.81,1.42,0.72,10.51
MOY,2019-05-07,Materials,115850000.0,91560000.0,,,,0.91,1.6,0.72,10.51
MOY,2019-05-08,Materials,106940000.0,103520000.0,,,,0.84,1.48,0.81,11.88
MOY,2019-05-09,Materials,111400000.0,103520000.0,,,,0.88,1.54,0.81,11.88
MOY,2019-05-10,Materials,106940000.0,99540000.0,,,,0.84,1.48,0.78,11.42
MOY,2019-05-13,Materials,111400000.0,95550000.0,,,,0.88,1.54,0.75,10.97
MOY,2019-05-14,Materials,108720000.0,99540000.0,,,,0.86,1.51,0.78,11.42
MOY,2019-05-15,Materials,106940000.0,99540000.0,,,,0.84,1.48,0.78,11.42
MOY,2019-05-16,Materials,106940000.0,99540000.0,,,,0.84,1.48,0.78,11.42
MOY,2019-05-17,Materials,106940000.0,95550000.0,,,,0.84,1.48,0.75,10.97
MOY,2019-05-20,Materials,106940000.0,95550000.0,,,,0.84,1.48,0.75,10.97
MOY,2019-05-21,Materials,106940000.0,95550000.0,,,,0.84,1.48,0.75,10.97
MOY,2019-05-22,Materials,106940000.0,95550000.0,,,,0.84,1.48,0.75,10.97
MOY,2019-05-23,Materials,106940000.0,95550000.0,,,,0.84,1.48,0.75,10.97
MOY,2019-06-03,Materials,89120000.0,83590000.0,,,,0.7,1.23,0.66,9.59
MOY,2019-06-04,Materials,69510000.0,83590000.0,,,,0.55,0.96,0.66,9.59
MOY,2019-06-05,Materials,56140000.0,83590000.0,,,,0.44,0.78,0.66,9.59
MOY,2019-06-06,Materials,65060000.0,62050000.0,,,,0.51,0.9,0.49,7.12
