asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
MP1,2019-05-06,Software & Services,722880000.0,626410000.0,,,,27.69,9.62,24.0,-22.84
MP1,2019-05-07,Software & Services,728250000.0,626410000.0,,,,27.9,9.7,24.0,-22.84
MP1,2019-05-08,Software & Services,687940000.0,605050000.0,,,,26.35,9.16,23.18,-22.06
MP1,2019-05-09,Software & Services,697350000.0,605050000.0,,,,26.71,9.28,23.18,-22.06
MP1,2019-05-10,Software & Services,685260000.0,577760000.0,,,,26.25,9.12,22.13,-21.07
MP1,2019-05-13,Software & Services,669130000.0,567080000.0,,,,25.63,8.91,21.72,-20.68
MP1,2019-05-14,Software & Services,710790000.0,552840000.0,,,,27.23,9.46,21.18,-20.16
MP1,2019-05-15,Software & Services,712130000.0,552840000.0,,,,27.28,9.48,21.18,-20.16
MP1,2019-05-16,Software & Services,705410000.0,552840000.0,,,,27.02,9.39,21.18,-20.16
MP1,2019-05-17,Software & Services,720190000.0,584880000.0,,,,27.59,9.59,22.41,-21.33
MP1,2019-05-20,Software & Services,718850000.0,597930000.0,,,,27.54,9.57,22.91,-21.8
MP1,2019-05-21,Software & Services,728250000.0,597930000.0,,,,27.9,9.7,22.91,-21.8
MP1,2019-05-22,Software & Services,734970000.0,596750000.0,,,,28.16,9.79,22.86,-21.76
MP1,2019-05-23,Software & Services,732280000.0,596750000.0,,,,28.05,9.75,22.86,-21.76
MP1,2019-05-27,Software & Services,790060000.0,633530000.0,,,,30.27,10.52,24.27,-23.1
MP1,2019-05-28,Software & Services,800670000.0,633530000.0,,,,30.67,10.64,24.27,-23.1
MP1,2019-05-29,Software & Services,810090000.0,633530000.0,,,,31.03,10.77,24.27,-23.1
MP1,2019-05-30,Software & Services,800670000.0,633530000.0,,,,30.67,10.64,24.27,-23.1
MP1,2019-06-01,Software & Services,807400000.0,633530000.0,,,,30.93,10.73,24.27,-23.1
MP1,2019-06-03,Software & Services,788560000.0,673880000.0,,,,30.21,10.48,25.82,-24.57
MP1,2019-06-04,Software & Services,746850000.0,673880000.0,,,,28.61,9.93,25.82,-24.57
MP1,2019-06-05,Software & Services,780490000.0,673880000.0,,,,29.9,10.38,25.82,-24.57
MP1,2019-06-06,Software & Services,768970000.0,620480000.0,,,,29.46,10.21,23.77,-22.62
