asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
MTH,2019-05-06,Materials,2530000.0,1700000.0,,,,133.25,0.75,89.56,-3.48
MTH,2019-05-07,Materials,2530000.0,1700000.0,,,,133.25,0.75,89.56,-3.48
MTH,2019-05-08,Materials,2530000.0,1700000.0,,,,133.25,0.75,89.56,-3.48
MTH,2019-05-09,Materials,2960000.0,1280000.0,,,,155.45,0.88,67.35,-2.62
MTH,2019-05-10,Materials,2960000.0,1700000.0,,,,155.45,0.88,89.56,-3.48
MTH,2019-05-13,Materials,2960000.0,1700000.0,,,,155.45,0.88,89.56,-3.48
MTH,2019-05-14,Materials,2530000.0,1700000.0,,,,133.25,0.75,89.56,-3.48
MTH,2019-05-15,Materials,2110000.0,1700000.0,,,,111.04,0.62,89.56,-3.48
MTH,2019-05-16,Materials,2110000.0,1700000.0,,,,111.04,0.62,89.56,-3.48
MTH,2019-05-17,Materials,2110000.0,1070000.0,,,,111.04,0.62,56.24,-2.19
MTH,2019-05-20,Materials,2110000.0,1070000.0,,,,111.04,0.62,56.24,-2.19
MTH,2019-05-21,Materials,2110000.0,1070000.0,,,,111.04,0.62,56.24,-2.19
MTH,2019-05-22,Materials,2110000.0,858580.0,,,,111.04,0.62,45.14,-1.75
MTH,2019-05-23,Materials,2110000.0,858580.0,,,,111.04,0.62,45.14,-1.75
MTH,2019-05-27,Materials,2110000.0,858580.0,,,,111.04,0.62,45.14,-1.75
MTH,2019-05-28,Materials,2110000.0,858580.0,,,,111.04,0.62,45.14,-1.75
MTH,2019-05-29,Materials,2110000.0,858580.0,,,,111.04,0.62,45.14,-1.75
MTH,2019-05-30,Materials,2530000.0,858580.0,,,,133.25,0.75,45.14,-1.75
MTH,2019-06-01,Materials,2110000.0,858580.0,,,,111.04,0.62,45.14,-1.75
MTH,2019-06-03,Materials,2110000.0,858580.0,,,,111.04,0.62,45.14,-1.75
MTH,2019-06-04,Materials,2110000.0,858580.0,,,,111.04,0.62,45.14,-1.75
MTH,2019-06-05,Materials,2110000.0,858580.0,,,,111.04,0.62,45.14,-1.75
MTH,2019-06-06,Materials,2110000.0,858580.0,,,,111.04,0.62,45.14,-1.75
