asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
MTS,2019-05-06,Food & Staples Retailing,2610000000.0,2840000000.0,,,,0.18,2.26,0.19,7.59
MTS,2019-05-07,Food & Staples Retailing,2600000000.0,2840000000.0,,,,0.18,2.25,0.19,7.59
MTS,2019-05-08,Food & Staples Retailing,2590000000.0,2810000000.0,,,,0.18,2.25,0.19,7.52
MTS,2019-05-09,Food & Staples Retailing,2590000000.0,2810000000.0,,,,0.18,2.25,0.19,7.52
MTS,2019-05-10,Food & Staples Retailing,2620000000.0,2800000000.0,,,,0.18,2.27,0.19,7.49
MTS,2019-05-13,Food & Staples Retailing,2650000000.0,2830000000.0,,,,0.18,2.29,0.19,7.57
MTS,2019-05-14,Food & Staples Retailing,2670000000.0,2850000000.0,,,,0.18,2.32,0.2,7.64
MTS,2019-05-15,Food & Staples Retailing,2710000000.0,2850000000.0,,,,0.19,2.35,0.2,7.64
MTS,2019-05-16,Food & Staples Retailing,2720000000.0,2850000000.0,,,,0.19,2.36,0.2,7.64
MTS,2019-05-17,Food & Staples Retailing,2750000000.0,2930000000.0,,,,0.19,2.38,0.2,7.85
MTS,2019-05-20,Food & Staples Retailing,2760000000.0,2960000000.0,,,,0.19,2.39,0.2,7.92
MTS,2019-05-21,Food & Staples Retailing,2760000000.0,2960000000.0,,,,0.19,2.4,0.2,7.92
MTS,2019-05-22,Food & Staples Retailing,2810000000.0,2970000000.0,,,,0.19,2.43,0.2,7.95
MTS,2019-05-23,Food & Staples Retailing,2820000000.0,2970000000.0,,,,0.19,2.44,0.2,7.95
MTS,2019-05-27,Food & Staples Retailing,2750000000.0,3030000000.0,,,,0.19,2.38,0.21,8.13
MTS,2019-05-28,Food & Staples Retailing,2730000000.0,3030000000.0,,,,0.19,2.36,0.21,8.13
MTS,2019-05-29,Food & Staples Retailing,2730000000.0,3030000000.0,,,,0.19,2.36,0.21,8.13
MTS,2019-05-30,Food & Staples Retailing,2690000000.0,3030000000.0,,,,0.18,2.33,0.21,8.13
MTS,2019-06-01,Food & Staples Retailing,2680000000.0,3030000000.0,,,,0.18,2.32,0.21,8.13
MTS,2019-06-03,Food & Staples Retailing,2690000000.0,2890000000.0,,,,0.18,2.33,0.2,7.75
MTS,2019-06-04,Food & Staples Retailing,2780000000.0,2890000000.0,,,,0.19,2.41,0.2,7.75
MTS,2019-06-05,Food & Staples Retailing,2790000000.0,2890000000.0,,,,0.19,2.42,0.2,7.75
MTS,2019-06-06,Food & Staples Retailing,2800000000.0,3000000000.0,,,,0.19,2.43,0.2,8.02
