asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
MYX,2019-05-06,"Pharmaceuticals, Biotechnology & Life Sciences",1120000000.0,1430000000.0,22.74,,,1.99,0.87,2.55,8.38
MYX,2019-05-07,"Pharmaceuticals, Biotechnology & Life Sciences",1080000000.0,1430000000.0,21.94,,,1.92,0.83,2.55,8.38
MYX,2019-05-08,"Pharmaceuticals, Biotechnology & Life Sciences",1080000000.0,1380000000.0,21.94,,,1.92,0.83,2.45,8.05
MYX,2019-05-09,"Pharmaceuticals, Biotechnology & Life Sciences",1060000000.0,1380000000.0,21.61,,,1.89,0.82,2.45,8.05
MYX,2019-05-10,"Pharmaceuticals, Biotechnology & Life Sciences",1060000000.0,1360000000.0,21.61,,,1.89,0.82,2.43,7.96
MYX,2019-05-13,"Pharmaceuticals, Biotechnology & Life Sciences",1050000000.0,1360000000.0,21.45,,,1.87,0.82,2.43,7.96
MYX,2019-05-14,"Pharmaceuticals, Biotechnology & Life Sciences",894360000.0,1350000000.0,18.23,,,1.59,0.69,2.41,7.91
MYX,2019-05-15,"Pharmaceuticals, Biotechnology & Life Sciences",878530000.0,1350000000.0,17.9,,,1.56,0.68,2.41,7.91
MYX,2019-05-16,"Pharmaceuticals, Biotechnology & Life Sciences",910190000.0,1350000000.0,18.55,,,1.62,0.71,2.41,7.91
MYX,2019-05-17,"Pharmaceuticals, Biotechnology & Life Sciences",926020000.0,1210000000.0,18.87,,,1.65,0.72,2.16,7.08
MYX,2019-05-20,"Pharmaceuticals, Biotechnology & Life Sciences",910190000.0,1230000000.0,18.55,,,1.62,0.71,2.19,7.17
MYX,2019-05-21,"Pharmaceuticals, Biotechnology & Life Sciences",894360000.0,1210000000.0,18.23,,,1.59,0.69,2.16,7.08
MYX,2019-05-22,"Pharmaceuticals, Biotechnology & Life Sciences",926020000.0,1210000000.0,18.87,,,1.65,0.72,2.16,7.08
MYX,2019-05-23,"Pharmaceuticals, Biotechnology & Life Sciences",902280000.0,1210000000.0,18.39,,,1.61,0.7,2.16,7.08
MYX,2019-05-27,"Pharmaceuticals, Biotechnology & Life Sciences",894360000.0,1200000000.0,18.23,,,1.59,0.69,2.14,7.03
MYX,2019-05-28,"Pharmaceuticals, Biotechnology & Life Sciences",918110000.0,1200000000.0,18.71,,,1.64,0.71,2.14,7.03
MYX,2019-05-29,"Pharmaceuticals, Biotechnology & Life Sciences",902280000.0,1200000000.0,18.39,,,1.61,0.7,2.14,7.03
MYX,2019-05-30,"Pharmaceuticals, Biotechnology & Life Sciences",886450000.0,1200000000.0,18.06,,,1.58,0.69,2.14,7.03
MYX,2019-06-01,"Pharmaceuticals, Biotechnology & Life Sciences",878530000.0,1200000000.0,17.9,,,1.56,0.68,2.14,7.03
MYX,2019-06-03,"Pharmaceuticals, Biotechnology & Life Sciences",870620000.0,1180000000.0,17.74,,,1.55,0.67,2.1,6.9
MYX,2019-06-04,"Pharmaceuticals, Biotechnology & Life Sciences",823130000.0,1180000000.0,16.77,,,1.47,0.64,2.1,6.9
MYX,2019-06-05,"Pharmaceuticals, Biotechnology & Life Sciences",815210000.0,1180000000.0,16.61,,,1.45,0.63,2.1,6.9
MYX,2019-06-06,"Pharmaceuticals, Biotechnology & Life Sciences",799380000.0,1130000000.0,16.29,,,1.42,0.62,2.0,6.57
