asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
NAG,2019-05-06,Materials,21870000.0,25190000.0,,,,27.7,2.38,31.91,-25.28
NAG,2019-05-07,Materials,21870000.0,25190000.0,,,,27.7,2.38,31.91,-25.28
NAG,2019-05-08,Materials,21870000.0,25190000.0,,,,27.7,2.38,31.91,-25.28
NAG,2019-05-09,Materials,21870000.0,25190000.0,,,,27.7,2.38,31.91,-25.28
NAG,2019-05-10,Materials,21870000.0,25190000.0,,,,27.7,2.38,31.91,-25.28
NAG,2019-05-13,Materials,21870000.0,25190000.0,,,,27.7,2.38,31.91,-25.28
NAG,2019-05-14,Materials,21870000.0,25190000.0,,,,27.7,2.38,31.91,-25.28
NAG,2019-05-15,Materials,21870000.0,25190000.0,,,,27.7,2.38,31.91,-25.28
NAG,2019-05-16,Materials,17500000.0,25190000.0,,,,22.16,1.9,31.91,-25.28
NAG,2019-05-17,Materials,17500000.0,20810000.0,,,,22.16,1.9,26.36,-20.89
NAG,2019-05-20,Materials,17500000.0,20810000.0,,,,22.16,1.9,26.36,-20.89
NAG,2019-05-21,Materials,19250000.0,20810000.0,,,,24.38,2.1,26.36,-20.89
NAG,2019-05-22,Materials,19250000.0,20810000.0,,,,24.38,2.1,26.36,-20.89
NAG,2019-05-23,Materials,19250000.0,20810000.0,,,,24.38,2.1,26.36,-20.89
NAG,2019-05-27,Materials,17060000.0,22560000.0,,,,21.61,1.86,28.58,-22.64
NAG,2019-05-28,Materials,17060000.0,22560000.0,,,,21.61,1.86,28.58,-22.64
NAG,2019-05-29,Materials,17060000.0,22560000.0,,,,21.61,1.86,28.58,-22.64
NAG,2019-05-30,Materials,16180000.0,22560000.0,,,,20.5,1.76,28.58,-22.64
NAG,2019-06-01,Materials,16180000.0,22560000.0,,,,20.5,1.76,28.58,-22.64
