asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
NCM,2019-05-06,Materials,18960000000.0,19920000000.0,55.8,,,5.3,2.58,5.57,12.31
NCM,2019-05-07,Materials,19070000000.0,19920000000.0,56.12,,,5.33,2.6,5.57,12.31
NCM,2019-05-08,Materials,19180000000.0,19920000000.0,56.43,,,5.36,2.61,5.57,12.31
NCM,2019-05-09,Materials,19280000000.0,20090000000.0,56.73,,,5.39,2.63,5.62,12.41
NCM,2019-05-10,Materials,19540000000.0,20300000000.0,57.49,,,5.47,2.66,5.68,12.54
NCM,2019-05-13,Materials,19640000000.0,20560000000.0,57.79,,,5.49,2.67,5.75,12.7
NCM,2019-05-14,Materials,19980000000.0,20660000000.0,58.8,,,5.59,2.72,5.78,12.76
NCM,2019-05-15,Materials,20060000000.0,20660000000.0,59.03,,,5.61,2.73,5.78,12.76
NCM,2019-05-16,Materials,20500000000.0,20660000000.0,60.32,,,5.73,2.79,5.78,12.76
NCM,2019-05-17,Materials,20570000000.0,21520000000.0,60.52,,,5.75,2.8,6.02,13.29
NCM,2019-05-20,Materials,20540000000.0,21590000000.0,60.45,,,5.75,2.8,6.04,13.33
NCM,2019-05-21,Materials,20650000000.0,21590000000.0,60.77,,,5.78,2.81,6.04,13.33
NCM,2019-05-22,Materials,20500000000.0,21560000000.0,60.32,,,5.73,2.79,6.03,13.32
NCM,2019-05-23,Materials,20610000000.0,21560000000.0,60.63,,,5.76,2.81,6.03,13.32
NCM,2019-05-27,Materials,20640000000.0,21560000000.0,60.72,,,5.77,2.81,6.03,13.32
NCM,2019-05-28,Materials,20510000000.0,21560000000.0,60.34,,,5.74,2.79,6.03,13.32
NCM,2019-05-29,Materials,20520000000.0,21560000000.0,60.38,,,5.74,2.79,6.03,13.32
NCM,2019-05-30,Materials,20380000000.0,21560000000.0,59.95,,,5.7,2.77,6.03,13.32
NCM,2019-06-01,Materials,20870000000.0,21560000000.0,61.42,,,5.84,2.84,6.03,13.32
NCM,2019-06-03,Materials,21640000000.0,21890000000.0,63.68,,,6.05,2.95,6.12,13.52
NCM,2019-06-04,Materials,21720000000.0,21890000000.0,63.91,,,6.07,2.96,6.12,13.52
NCM,2019-06-05,Materials,21440000000.0,21890000000.0,63.09,,,6.0,2.92,6.12,13.52
NCM,2019-06-06,Materials,21690000000.0,22460000000.0,63.84,,,6.07,2.95,6.28,13.87
