asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
NCZ,2019-05-06,Materials,368820000.0,361680000.0,,,,,,,-11.4
NCZ,2019-05-07,Materials,378920000.0,361680000.0,,,,,,,-11.4
NCZ,2019-05-08,Materials,368820000.0,366720000.0,,,,,,,-11.56
NCZ,2019-05-09,Materials,363770000.0,366720000.0,,,,,,,-11.56
NCZ,2019-05-10,Materials,373870000.0,351610000.0,,,,,,,-11.09
NCZ,2019-05-13,Materials,376400000.0,361680000.0,,,,,,,-11.4
NCZ,2019-05-14,Materials,376400000.0,364200000.0,,,,,,,-11.48
NCZ,2019-05-15,Materials,381450000.0,364200000.0,,,,,,,-11.48
NCZ,2019-05-16,Materials,378920000.0,364200000.0,,,,,,,-11.48
NCZ,2019-05-17,Materials,368820000.0,366720000.0,,,,,,,-11.56
NCZ,2019-05-20,Materials,368820000.0,356650000.0,,,,,,,-11.25
NCZ,2019-05-21,Materials,366290000.0,356650000.0,,,,,,,-11.25
NCZ,2019-05-22,Materials,358710000.0,356650000.0,,,,,,,-11.25
NCZ,2019-05-23,Materials,358710000.0,356650000.0,,,,,,,-11.25
NCZ,2019-05-27,Materials,348610000.0,346580000.0,,,,,,,-10.93
NCZ,2019-05-28,Materials,343900000.0,346580000.0,,,,,,,-10.93
NCZ,2019-05-29,Materials,346430000.0,346580000.0,,,,,,,-10.93
NCZ,2019-05-30,Materials,354010000.0,346580000.0,,,,,,,-10.93
NCZ,2019-06-01,Materials,351480000.0,346580000.0,,,,,,,-10.93
NCZ,2019-06-03,Materials,336310000.0,339030000.0,,,,,,,-10.69
NCZ,2019-06-04,Materials,333780000.0,339030000.0,,,,,,,-10.69
NCZ,2019-06-05,Materials,338840000.0,339030000.0,,,,,,,-10.69
NCZ,2019-06-06,Materials,328730000.0,321410000.0,,,,,,,-10.14
