asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
NGE,2019-05-13,Not Applic,23990000.0,-4870000.0,3.43,,,78.66,0.79,-15.98,5.28
NGE,2019-05-14,Not Applic,23990000.0,-4870000.0,3.43,,,78.66,0.79,-15.98,5.28
NGE,2019-05-15,Not Applic,23990000.0,-4870000.0,3.43,,,78.66,0.79,-15.98,5.28
NGE,2019-05-16,Not Applic,23250000.0,-4870000.0,3.32,,,76.22,0.76,-15.98,5.28
NGE,2019-05-17,Not Applic,24180000.0,-5620000.0,3.46,,,79.27,0.79,-18.42,6.08
NGE,2019-05-27,Not Applic,24550000.0,-4320000.0,3.51,,,80.49,0.8,-14.15,4.67
NGE,2019-05-28,Not Applic,24550000.0,-4320000.0,3.51,,,80.49,0.8,-14.15,4.67
NGE,2019-05-29,Not Applic,22500000.0,-4320000.0,3.22,,,73.78,0.74,-14.15,4.67
NGE,2019-05-30,Not Applic,22500000.0,-4320000.0,3.22,,,73.78,0.74,-14.15,4.67
NGE,2019-06-01,Not Applic,23060000.0,-4320000.0,3.3,,,75.61,0.76,-14.15,4.67
NGE,2019-06-03,Not Applic,23250000.0,-5800000.0,3.32,,,76.22,0.76,-19.03,6.28
NGE,2019-06-04,Not Applic,23060000.0,-5800000.0,3.3,,,75.61,0.76,-19.03,6.28
NGE,2019-06-05,Not Applic,23060000.0,-5800000.0,3.3,,,75.61,0.76,-19.03,6.28
NGE,2019-06-06,Not Applic,22690000.0,-5800000.0,3.24,,,74.39,0.74,-19.03,6.28
