asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
NGY,2019-05-15,Energy,20730000.0,29710000.0,,,,2073.34,0.52,2970.79,-20.54
NGY,2019-05-20,Energy,20730000.0,22300000.0,,,,2073.34,0.52,2230.31,-15.42
NGY,2019-05-21,Energy,26660000.0,22300000.0,,,,2665.73,0.67,2230.31,-15.42
NGY,2019-05-22,Energy,26660000.0,22300000.0,,,,2665.73,0.67,2230.31,-15.42
NGY,2019-05-23,Energy,26660000.0,22300000.0,,,,2665.73,0.67,2230.31,-15.42
NGY,2019-05-27,Energy,26660000.0,28230000.0,,,,2665.73,0.67,2822.7,-19.52
NGY,2019-05-28,Energy,26660000.0,28230000.0,,,,2665.73,0.67,2822.7,-19.52
NGY,2019-05-29,Energy,26660000.0,28230000.0,,,,2665.73,0.67,2822.7,-19.52
NGY,2019-05-30,Energy,26660000.0,28230000.0,,,,2665.73,0.67,2822.7,-19.52
NGY,2019-06-01,Energy,26660000.0,28230000.0,,,,2665.73,0.67,2822.7,-19.52
