asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
NMT,2019-05-06,Materials,138710000.0,109480000.0,8.23,,,,1.47,,
NMT,2019-05-07,Materials,116950000.0,109480000.0,6.94,,,,1.24,,
NMT,2019-05-08,Materials,119670000.0,90440000.0,7.1,,,,1.27,,
NMT,2019-05-09,Materials,119670000.0,90440000.0,7.1,,,,,,
NMT,2019-05-10,Materials,125110000.0,,7.42,,,,,,
NMT,2019-05-13,Materials,125110000.0,98600000.0,7.42,,,,1.33,,
NMT,2019-05-14,Materials,125110000.0,98600000.0,7.42,,,,1.33,,
NMT,2019-05-15,Materials,127830000.0,98600000.0,7.58,,,,1.36,,
NMT,2019-05-16,Materials,125110000.0,98600000.0,7.42,,,,1.33,,
NMT,2019-05-17,Materials,122390000.0,101320000.0,7.26,,,,1.3,,
NMT,2019-05-20,Materials,125110000.0,95880000.0,7.42,,,,1.33,,
NMT,2019-05-21,Materials,125110000.0,98600000.0,7.42,,,,1.33,,
NMT,2019-05-22,Materials,125110000.0,95880000.0,7.42,,,,1.33,,
NMT,2019-05-23,Materials,125110000.0,95880000.0,7.42,,,,1.33,,
NMT,2019-05-27,Materials,122390000.0,98600000.0,7.26,,,,1.3,,
NMT,2019-05-28,Materials,127830000.0,98600000.0,7.58,,,,1.36,,
NMT,2019-05-29,Materials,130550000.0,98600000.0,7.74,,,,1.39,,
NMT,2019-05-30,Materials,125110000.0,98600000.0,7.42,,,,1.33,,
NMT,2019-06-01,Materials,125110000.0,98600000.0,7.42,,,,1.33,,
NMT,2019-06-03,Materials,125110000.0,98600000.0,7.42,,,,1.33,,
NMT,2019-06-04,Materials,127830000.0,98600000.0,7.58,,,,1.36,,
NMT,2019-06-05,Materials,125110000.0,101320000.0,7.42,,,,1.33,,
NMT,2019-06-06,Materials,122390000.0,101320000.0,7.26,,,,1.3,,
