asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
NOX,2019-05-06,"Pharmaceuticals, Biotechnology & Life Sciences",79690000.0,75230000.0,,,,23.96,12.5,22.62,-7.75
NOX,2019-05-07,"Pharmaceuticals, Biotechnology & Life Sciences",72950000.0,75230000.0,,,,21.94,11.44,22.62,-7.75
NOX,2019-05-08,"Pharmaceuticals, Biotechnology & Life Sciences",67430000.0,75230000.0,,,,20.28,10.58,22.62,-7.75
NOX,2019-05-09,"Pharmaceuticals, Biotechnology & Life Sciences",63140000.0,66680000.0,,,,18.99,9.9,20.05,-6.87
NOX,2019-05-10,"Pharmaceuticals, Biotechnology & Life Sciences",63750000.0,66680000.0,,,,19.17,10.0,20.05,-6.87
NOX,2019-05-13,"Pharmaceuticals, Biotechnology & Life Sciences",73560000.0,57520000.0,,,,22.12,11.54,17.3,-5.92
NOX,2019-05-14,"Pharmaceuticals, Biotechnology & Life Sciences",76010000.0,67290000.0,,,,22.86,11.92,20.24,-6.93
NOX,2019-05-15,"Pharmaceuticals, Biotechnology & Life Sciences",73560000.0,67290000.0,,,,22.12,11.54,20.24,-6.93
NOX,2019-05-16,"Pharmaceuticals, Biotechnology & Life Sciences",72330000.0,67290000.0,,,,21.75,11.35,20.24,-6.93
NOX,2019-05-17,"Pharmaceuticals, Biotechnology & Life Sciences",67430000.0,66070000.0,,,,20.28,10.58,19.87,-6.8
NOX,2019-05-20,"Pharmaceuticals, Biotechnology & Life Sciences",79690000.0,61190000.0,,,,23.96,12.5,18.4,-6.3
NOX,2019-05-21,"Pharmaceuticals, Biotechnology & Life Sciences",76010000.0,61190000.0,,,,22.86,11.92,18.4,-6.3
NOX,2019-05-22,"Pharmaceuticals, Biotechnology & Life Sciences",72330000.0,73400000.0,,,,21.75,11.35,22.07,-7.56
NOX,2019-05-23,"Pharmaceuticals, Biotechnology & Life Sciences",73560000.0,73400000.0,,,,22.12,11.54,22.07,-7.56
NOX,2019-05-27,"Pharmaceuticals, Biotechnology & Life Sciences",74170000.0,68520000.0,,,,22.31,11.63,20.6,-7.05
NOX,2019-05-28,"Pharmaceuticals, Biotechnology & Life Sciences",80920000.0,68520000.0,,,,24.33,12.69,20.6,-7.05
NOX,2019-05-29,"Pharmaceuticals, Biotechnology & Life Sciences",76630000.0,68520000.0,,,,23.04,12.02,20.6,-7.05
NOX,2019-05-30,"Pharmaceuticals, Biotechnology & Life Sciences",76010000.0,68520000.0,,,,22.86,11.92,20.6,-7.05
NOX,2019-06-01,"Pharmaceuticals, Biotechnology & Life Sciences",71720000.0,68520000.0,,,,21.57,11.25,20.6,-7.05
NOX,2019-06-03,"Pharmaceuticals, Biotechnology & Life Sciences",73560000.0,65460000.0,,,,22.12,11.54,19.68,-6.74
NOX,2019-06-04,"Pharmaceuticals, Biotechnology & Life Sciences",71720000.0,65460000.0,,,,21.57,11.25,19.68,-6.74
NOX,2019-06-05,"Pharmaceuticals, Biotechnology & Life Sciences",70500000.0,65460000.0,,,,21.2,11.06,19.68,-6.74
NOX,2019-06-06,"Pharmaceuticals, Biotechnology & Life Sciences",66820000.0,64240000.0,,,,20.09,10.48,19.32,-6.61
