asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
NUH,2019-05-06,Technology Hardware & Equipment,74650000.0,66850000.0,,,,21.82,4.47,19.54,-6.53
NUH,2019-05-07,Technology Hardware & Equipment,76610000.0,66850000.0,,,,22.39,4.59,19.54,-6.53
NUH,2019-05-08,Technology Hardware & Equipment,77590000.0,66850000.0,,,,22.68,4.65,19.54,-6.53
NUH,2019-05-09,Technology Hardware & Equipment,76610000.0,66850000.0,,,,22.39,4.59,19.54,-6.53
NUH,2019-05-10,Technology Hardware & Equipment,76610000.0,66850000.0,,,,22.39,4.59,19.54,-6.53
NUH,2019-05-13,Technology Hardware & Equipment,81520000.0,66850000.0,,,,23.82,4.88,19.54,-6.53
NUH,2019-05-14,Technology Hardware & Equipment,76610000.0,71650000.0,,,,22.39,4.59,20.94,-7.0
NUH,2019-05-15,Technology Hardware & Equipment,79560000.0,71650000.0,,,,23.25,4.76,20.94,-7.0
NUH,2019-05-16,Technology Hardware & Equipment,77590000.0,71650000.0,,,,22.68,4.65,20.94,-7.0
NUH,2019-05-17,Technology Hardware & Equipment,68750000.0,67810000.0,,,,20.09,4.12,19.82,-6.62
NUH,2019-05-20,Technology Hardware & Equipment,68750000.0,59170000.0,,,,20.09,4.12,17.29,-5.78
NUH,2019-05-21,Technology Hardware & Equipment,67770000.0,59170000.0,,,,19.81,4.06,17.29,-5.78
NUH,2019-05-22,Technology Hardware & Equipment,67770000.0,59170000.0,,,,19.81,4.06,17.29,-5.78
NUH,2019-05-23,Technology Hardware & Equipment,65810000.0,59170000.0,,,,19.23,3.94,17.29,-5.78
NUH,2019-05-27,Technology Hardware & Equipment,65810000.0,52440000.0,,,,19.23,3.94,15.33,-5.12
NUH,2019-05-28,Technology Hardware & Equipment,68750000.0,52440000.0,,,,20.09,4.12,15.33,-5.12
NUH,2019-05-29,Technology Hardware & Equipment,69740000.0,52440000.0,,,,20.38,4.18,15.33,-5.12
NUH,2019-05-30,Technology Hardware & Equipment,68750000.0,52440000.0,,,,20.09,4.12,15.33,-5.12
NUH,2019-06-01,Technology Hardware & Equipment,72680000.0,52440000.0,,,,21.24,4.35,15.33,-5.12
NUH,2019-06-03,Technology Hardware & Equipment,72680000.0,63010000.0,,,,21.24,4.35,18.41,-6.15
NUH,2019-06-04,Technology Hardware & Equipment,73670000.0,63010000.0,,,,21.53,4.41,18.41,-6.15
NUH,2019-06-05,Technology Hardware & Equipment,72680000.0,63010000.0,,,,21.24,4.35,18.41,-6.15
NUH,2019-06-06,Technology Hardware & Equipment,74650000.0,63010000.0,,,,21.82,4.47,18.41,-6.15
