asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
NVA,2019-05-13,Materials,10840000.0,9140000.0,,,,913.2,1.4,770.23,
NVA,2019-05-14,Materials,11610000.0,9140000.0,,,,978.43,1.5,770.23,
NVA,2019-05-15,Materials,13160000.0,9140000.0,,,,1108.89,1.7,770.23,
NVA,2019-05-16,Materials,13930000.0,9140000.0,,,,1174.12,1.8,770.23,
NVA,2019-05-17,Materials,13160000.0,12250000.0,,,,1108.89,1.7,1031.82,
NVA,2019-05-20,Materials,12390000.0,11470000.0,,,,1043.66,1.6,966.42,
NVA,2019-05-21,Materials,12390000.0,11470000.0,,,,1043.66,1.6,966.42,
NVA,2019-05-22,Materials,12390000.0,10690000.0,,,,1043.66,1.6,901.02,
NVA,2019-05-23,Materials,12390000.0,10690000.0,,,,1043.66,1.6,901.02,
NVA,2019-05-27,Materials,12390000.0,9920000.0,,,,1043.66,1.6,835.63,
NVA,2019-05-28,Materials,11610000.0,9920000.0,,,,978.43,1.5,835.63,
NVA,2019-05-29,Materials,12390000.0,9920000.0,,,,1043.66,1.6,835.63,
NVA,2019-05-30,Materials,12390000.0,9920000.0,,,,1043.66,1.6,835.63,
NVA,2019-06-01,Materials,11610000.0,9920000.0,,,,978.43,1.5,835.63,
NVA,2019-06-03,Materials,13930000.0,9920000.0,,,,1174.12,1.8,835.63,
NVA,2019-06-04,Materials,13930000.0,9920000.0,,,,1174.12,1.8,835.63,
NVA,2019-06-05,Materials,14710000.0,9920000.0,,,,1239.34,1.9,835.63,
NVA,2019-06-06,Materials,14710000.0,13020000.0,,,,1239.34,1.9,1097.21,
