asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
NVX,2019-05-06,Materials,72040000.0,75660000.0,,,,35.86,2.45,37.66,-8.86
NVX,2019-05-07,Materials,68960000.0,75660000.0,,,,34.33,2.34,37.66,-8.86
NVX,2019-05-08,Materials,65260000.0,75660000.0,,,,32.49,2.22,37.66,-8.86
NVX,2019-05-09,Technology Hardware & Equipment,65260000.0,75660000.0,,,,32.49,2.22,37.66,-8.86
NVX,2019-05-10,Technology Hardware & Equipment,66490000.0,68890000.0,,,,33.1,2.26,34.29,-8.07
NVX,2019-05-13,Technology Hardware & Equipment,64030000.0,70120000.0,,,,31.87,2.18,34.9,-8.21
NVX,2019-05-14,Technology Hardware & Equipment,52330000.0,67660000.0,,,,26.05,1.78,33.68,-7.92
NVX,2019-05-15,Technology Hardware & Equipment,57260000.0,67660000.0,,,,28.5,1.95,33.68,-7.92
NVX,2019-05-16,Technology Hardware & Equipment,62180000.0,67660000.0,,,,30.95,2.11,33.68,-7.92
NVX,2019-05-17,Technology Hardware & Equipment,62800000.0,65810000.0,,,,31.26,2.13,32.76,-7.71
NVX,2019-05-20,Technology Hardware & Equipment,60340000.0,66430000.0,,,,30.03,2.05,33.06,-7.78
NVX,2019-05-21,Technology Hardware & Equipment,62800000.0,63960000.0,,,,31.26,2.13,31.84,-7.49
NVX,2019-05-22,Technology Hardware & Equipment,67730000.0,63960000.0,,,,33.71,2.3,31.84,-7.49
NVX,2019-05-23,Technology Hardware & Equipment,64030000.0,63960000.0,,,,31.87,2.18,31.84,-7.49
NVX,2019-05-27,Technology Hardware & Equipment,62800000.0,67660000.0,,,,31.26,2.13,33.68,-7.92
NVX,2019-05-28,Technology Hardware & Equipment,62800000.0,67660000.0,,,,31.26,2.13,33.68,-7.92
NVX,2019-05-29,Technology Hardware & Equipment,62800000.0,67660000.0,,,,31.26,2.13,33.68,-7.92
NVX,2019-05-30,Technology Hardware & Equipment,60340000.0,67660000.0,,,,30.03,2.05,33.68,-7.92
NVX,2019-06-01,Technology Hardware & Equipment,57870000.0,67660000.0,,,,28.81,1.97,33.68,-7.92
