asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
NXT,2019-05-06,Software & Services,2170000000.0,2480000000.0,,,,13.24,2.44,15.14,37.02
NXT,2019-05-07,Software & Services,2190000000.0,2480000000.0,,,,13.37,2.47,15.14,37.02
NXT,2019-05-08,Software & Services,2150000000.0,2470000000.0,,,,13.12,2.42,15.1,36.92
NXT,2019-05-09,Software & Services,2150000000.0,2470000000.0,,,,13.14,2.43,15.1,36.92
NXT,2019-05-10,Software & Services,2190000000.0,2450000000.0,,,,13.35,2.46,14.98,36.61
NXT,2019-05-13,Software & Services,2190000000.0,2490000000.0,,,,13.37,2.47,15.21,37.17
NXT,2019-05-14,Software & Services,2130000000.0,2490000000.0,,,,13.01,2.4,15.21,37.17
NXT,2019-05-15,Software & Services,2170000000.0,2440000000.0,,,,13.26,2.45,14.87,36.36
NXT,2019-05-16,Software & Services,2220000000.0,2480000000.0,,,,13.56,2.5,15.12,36.97
NXT,2019-05-17,Software & Services,2230000000.0,2480000000.0,,,,13.62,2.51,15.12,36.97
NXT,2019-05-20,Software & Services,2210000000.0,2530000000.0,,,,13.49,2.49,15.48,37.84
NXT,2019-05-21,Software & Services,2230000000.0,2530000000.0,,,,13.62,2.51,15.48,37.84
NXT,2019-05-22,Software & Services,2220000000.0,2530000000.0,,,,13.54,2.5,15.48,37.84
NXT,2019-05-23,Software & Services,2300000000.0,2530000000.0,,,,14.04,2.59,15.48,37.84
NXT,2019-05-27,Software & Services,2300000000.0,2600000000.0,,,,14.04,2.59,15.9,38.86
NXT,2019-05-28,Software & Services,2310000000.0,2600000000.0,,,,14.1,2.6,15.9,38.86
NXT,2019-05-29,Software & Services,2320000000.0,2600000000.0,,,,14.17,2.62,15.9,38.86
NXT,2019-05-30,Software & Services,2270000000.0,2600000000.0,,,,13.85,2.56,15.9,38.86
NXT,2019-06-01,Software & Services,2260000000.0,2600000000.0,,,,13.79,2.55,15.9,38.86
NXT,2019-06-03,Software & Services,2290000000.0,2560000000.0,,,,13.96,2.58,15.65,38.24
NXT,2019-06-04,Software & Services,2260000000.0,2560000000.0,,,,13.83,2.55,15.65,38.24
NXT,2019-06-05,Software & Services,2330000000.0,2570000000.0,,,,14.21,2.62,15.69,38.35
NXT,2019-06-06,Software & Services,2310000000.0,2570000000.0,,,,14.12,2.61,15.69,38.35
