asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
OCL,2019-05-06,Software & Services,259500000.0,242760000.0,37.33,,,4.4,10.94,4.12,24.19
OCL,2019-05-07,Software & Services,259500000.0,242760000.0,37.33,,,4.4,10.94,4.12,24.19
OCL,2019-05-08,Software & Services,264140000.0,242760000.0,38.0,,,4.48,11.13,4.12,24.19
OCL,2019-05-09,Software & Services,264140000.0,242760000.0,38.0,,,4.48,11.13,4.12,24.19
OCL,2019-05-10,Software & Services,264140000.0,242760000.0,38.0,,,4.48,11.13,4.12,24.19
OCL,2019-05-13,Software & Services,264140000.0,247400000.0,38.0,,,4.48,11.13,4.2,24.66
OCL,2019-05-14,Software & Services,259500000.0,247400000.0,37.33,,,4.4,10.94,4.2,24.66
OCL,2019-05-15,Software & Services,259500000.0,247400000.0,37.33,,,4.4,10.94,4.2,24.66
OCL,2019-05-16,Software & Services,259500000.0,247400000.0,37.33,,,4.4,10.94,4.2,24.66
OCL,2019-05-17,Software & Services,259500000.0,242760000.0,37.33,,,4.4,10.94,4.12,24.19
OCL,2019-05-20,Software & Services,259500000.0,242760000.0,37.33,,,4.4,10.94,4.12,24.19
OCL,2019-05-21,Software & Services,259500000.0,242760000.0,37.33,,,4.4,10.94,4.12,24.19
OCL,2019-05-22,Software & Services,268770000.0,242760000.0,38.67,,,4.56,11.33,4.12,24.19
OCL,2019-05-23,Software & Services,269700000.0,242760000.0,38.8,,,4.58,11.37,4.12,24.19
OCL,2019-06-03,Software & Services,260060000.0,242760000.0,37.33,,,4.41,10.94,4.12,24.19
OCL,2019-06-04,Software & Services,260060000.0,242760000.0,37.33,,,4.41,10.94,4.12,24.19
OCL,2019-06-05,Software & Services,253560000.0,242760000.0,36.4,,,4.3,10.66,4.12,24.19
OCL,2019-06-06,Software & Services,253560000.0,236280000.0,36.4,,,4.3,10.66,4.01,23.55
