asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
OPT,2019-05-06,"Pharmaceuticals, Biotechnology & Life Sciences",173340000.0,130710000.0,,,,924.13,4.37,696.84,-3.63
OPT,2019-05-07,"Pharmaceuticals, Biotechnology & Life Sciences",169600000.0,130710000.0,,,,904.19,4.28,696.84,-3.63
OPT,2019-05-08,"Pharmaceuticals, Biotechnology & Life Sciences",168360000.0,129460000.0,,,,897.54,4.25,690.19,-3.59
OPT,2019-05-09,"Pharmaceuticals, Biotechnology & Life Sciences",174590000.0,130710000.0,,,,930.78,4.4,696.84,-3.63
OPT,2019-05-10,"Pharmaceuticals, Biotechnology & Life Sciences",175840000.0,134450000.0,,,,937.43,4.43,716.78,-3.73
OPT,2019-05-13,"Pharmaceuticals, Biotechnology & Life Sciences",173340000.0,135700000.0,,,,924.13,4.37,723.43,-3.76
OPT,2019-05-14,"Pharmaceuticals, Biotechnology & Life Sciences",169600000.0,133200000.0,,,,904.19,4.28,710.14,-3.69
OPT,2019-05-15,"Pharmaceuticals, Biotechnology & Life Sciences",169600000.0,133200000.0,,,,904.19,4.28,710.14,-3.69
OPT,2019-05-16,"Pharmaceuticals, Biotechnology & Life Sciences",179580000.0,133200000.0,,,,957.38,4.53,710.14,-3.69
OPT,2019-05-17,"Pharmaceuticals, Biotechnology & Life Sciences",179580000.0,139440000.0,,,,957.38,4.53,743.38,-3.87
OPT,2019-05-20,"Pharmaceuticals, Biotechnology & Life Sciences",175840000.0,139440000.0,,,,937.43,4.43,743.38,-3.87
OPT,2019-05-21,"Pharmaceuticals, Biotechnology & Life Sciences",164610000.0,135700000.0,,,,877.59,4.15,723.43,-3.76
OPT,2019-05-22,"Pharmaceuticals, Biotechnology & Life Sciences",164610000.0,135700000.0,,,,877.59,4.15,723.43,-3.76
OPT,2019-05-23,"Pharmaceuticals, Biotechnology & Life Sciences",170850000.0,135700000.0,,,,910.84,4.31,723.43,-3.76
OPT,2019-05-27,"Pharmaceuticals, Biotechnology & Life Sciences",162120000.0,130710000.0,,,,864.3,4.09,696.84,-3.63
OPT,2019-05-28,"Pharmaceuticals, Biotechnology & Life Sciences",159630000.0,130710000.0,,,,851.0,4.03,696.84,-3.63
OPT,2019-05-29,"Pharmaceuticals, Biotechnology & Life Sciences",149650000.0,130710000.0,,,,797.81,3.77,696.84,-3.63
OPT,2019-05-30,"Pharmaceuticals, Biotechnology & Life Sciences",162120000.0,130710000.0,,,,864.3,4.09,696.84,-3.63
OPT,2019-06-01,"Pharmaceuticals, Biotechnology & Life Sciences",160870000.0,130710000.0,,,,857.65,4.06,696.84,-3.63
OPT,2019-06-03,"Pharmaceuticals, Biotechnology & Life Sciences",154640000.0,120730000.0,,,,824.41,3.9,643.65,-3.35
OPT,2019-06-04,"Pharmaceuticals, Biotechnology & Life Sciences",158380000.0,120730000.0,,,,844.35,3.99,643.65,-3.35
OPT,2019-06-05,"Pharmaceuticals, Biotechnology & Life Sciences",164610000.0,120730000.0,,,,877.59,4.15,643.65,-3.35
OPT,2019-06-06,"Pharmaceuticals, Biotechnology & Life Sciences",169600000.0,118240000.0,,,,904.19,4.28,630.35,-3.28
