asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
ORI,2019-05-06,Materials,7040000000.0,8800000000.0,,,,1.3,2.42,1.63,12.99
ORI,2019-05-07,Materials,7090000000.0,8800000000.0,,,,1.31,2.44,1.63,12.99
ORI,2019-05-08,Materials,7090000000.0,8790000000.0,,,,1.31,2.44,1.63,12.97
ORI,2019-05-09,Materials,7480000000.0,8790000000.0,,,,1.39,2.57,1.63,12.97
ORI,2019-05-10,Materials,7390000000.0,9180000000.0,,,,1.37,2.54,1.7,13.55
ORI,2019-05-13,Materials,7480000000.0,9220000000.0,34.96,,,1.31,2.66,1.62,11.02
ORI,2019-05-14,Materials,7470000000.0,9300000000.0,34.94,,,1.31,2.66,1.63,11.12
ORI,2019-05-15,Materials,7610000000.0,9300000000.0,35.56,,,1.34,2.71,1.63,11.12
ORI,2019-05-16,Materials,7700000000.0,9300000000.0,35.99,,,1.35,2.74,1.63,11.12
ORI,2019-05-17,Materials,7810000000.0,9520000000.0,36.52,,,1.37,2.78,1.67,11.39
ORI,2019-05-20,Materials,7690000000.0,9640000000.0,35.97,,,1.35,2.74,1.69,11.52
ORI,2019-05-21,Materials,7810000000.0,9520000000.0,36.5,,,1.37,2.78,1.67,11.38
ORI,2019-05-22,Materials,7870000000.0,9520000000.0,36.79,,,1.38,2.8,1.67,11.38
ORI,2019-05-23,Materials,7910000000.0,9520000000.0,37.0,,,1.39,2.81,1.67,11.38
ORI,2019-05-27,Materials,7810000000.0,9740000000.0,36.5,,,1.37,2.78,1.71,11.65
ORI,2019-05-28,Materials,7930000000.0,9740000000.0,37.05,,,1.39,2.82,1.71,11.65
ORI,2019-05-29,Materials,7910000000.0,9740000000.0,37.0,,,1.39,2.81,1.71,11.65
ORI,2019-05-30,Materials,7770000000.0,9740000000.0,36.31,,,1.36,2.76,1.71,11.65
ORI,2019-06-01,Materials,7850000000.0,9740000000.0,36.7,,,1.38,2.79,1.71,11.65
ORI,2019-06-03,Materials,7760000000.0,9680000000.0,36.27,,,1.36,2.76,1.7,11.57
ORI,2019-06-04,Materials,7750000000.0,9680000000.0,36.23,,,1.36,2.76,1.7,11.57
ORI,2019-06-05,Materials,7770000000.0,9680000000.0,36.31,,,1.36,2.76,1.7,11.57
ORI,2019-06-06,Materials,7770000000.0,9580000000.0,36.32,,,1.37,2.76,1.68,11.45
