asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
PAC,2019-05-06,Diversified Financials,226300000.0,107780000.0,7.33,,,1.84,0.57,0.88,1.45
PAC,2019-05-07,Diversified Financials,226300000.0,107780000.0,7.33,,,1.84,0.57,0.88,1.45
PAC,2019-05-08,Diversified Financials,224870000.0,107780000.0,7.28,,,1.83,0.57,0.88,1.45
PAC,2019-05-09,Diversified Financials,228680000.0,105880000.0,7.41,,,1.86,0.58,0.86,1.42
PAC,2019-05-10,Diversified Financials,231540000.0,105880000.0,7.5,,,1.88,0.59,0.86,1.42
PAC,2019-05-13,Diversified Financials,231540000.0,111120000.0,7.5,,,1.88,0.59,0.9,1.49
PAC,2019-05-14,Diversified Financials,224870000.0,111120000.0,7.28,,,1.83,0.57,0.9,1.49
PAC,2019-05-15,Diversified Financials,225350000.0,111120000.0,7.3,,,1.83,0.57,0.9,1.49
PAC,2019-05-16,Diversified Financials,224400000.0,111120000.0,7.27,,,1.82,0.57,0.9,1.49
PAC,2019-05-17,Diversified Financials,224400000.0,103970000.0,7.27,,,1.82,0.57,0.84,1.4
PAC,2019-05-20,Diversified Financials,225350000.0,103970000.0,7.3,,,1.83,0.57,0.84,1.4
PAC,2019-05-21,Diversified Financials,223920000.0,103970000.0,7.25,,,1.82,0.57,0.84,1.4
PAC,2019-05-22,Diversified Financials,228210000.0,104920000.0,7.39,,,1.85,0.58,0.85,1.41
PAC,2019-05-23,Diversified Financials,219630000.0,104920000.0,7.11,,,1.78,0.56,0.85,1.41
PAC,2019-05-27,Diversified Financials,232020000.0,108260000.0,7.52,,,1.88,0.59,0.88,1.45
PAC,2019-05-28,Diversified Financials,231540000.0,108260000.0,7.5,,,1.88,0.59,0.88,1.45
PAC,2019-05-29,Diversified Financials,228210000.0,108260000.0,7.39,,,1.85,0.58,0.88,1.45
PAC,2019-05-30,Diversified Financials,225350000.0,108260000.0,7.3,,,1.83,0.57,0.88,1.45
PAC,2019-06-01,Diversified Financials,230110000.0,108260000.0,7.45,,,1.87,0.58,0.88,1.45
PAC,2019-06-03,Diversified Financials,224870000.0,109690000.0,7.28,,,1.83,0.57,0.89,1.47
PAC,2019-06-04,Diversified Financials,223440000.0,109690000.0,7.24,,,1.81,0.57,0.89,1.47
PAC,2019-06-05,Diversified Financials,226300000.0,109690000.0,7.33,,,1.84,0.57,0.89,1.47
PAC,2019-06-06,Diversified Financials,225350000.0,105880000.0,7.3,,,1.83,0.57,0.86,1.42
