asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
PGY,2019-05-06,Energy,1110000.0,511040.0,,,,2.34,,1.08,-0.44
PGY,2019-05-07,Energy,1110000.0,511040.0,,,,2.34,,1.08,-0.44
PGY,2019-05-08,Energy,1110000.0,511040.0,,,,2.34,,1.08,-0.44
PGY,2019-05-09,Energy,1110000.0,511040.0,,,,2.34,,1.08,-0.44
PGY,2019-05-10,Energy,1110000.0,511040.0,,,,2.34,,1.08,-0.44
PGY,2019-05-15,Energy,1030000.0,511040.0,,,,2.17,,1.08,-0.44
PGY,2019-05-20,Energy,874180.0,431570.0,,,,1.84,,0.91,-0.37
PGY,2019-05-21,Energy,874180.0,431570.0,,,,1.84,,0.91,-0.37
PGY,2019-05-22,Energy,874180.0,272630.0,,,,1.84,,0.57,-0.23
PGY,2019-05-23,Energy,874180.0,272630.0,,,,1.84,,0.57,-0.23
