asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
POS,2019-05-06,Materials,97780000.0,48840000.0,,,,-156.7,1.28,-78.27,-6.15
POS,2019-05-07,Materials,92490000.0,48840000.0,,,,-148.23,1.21,-78.27,-6.15
POS,2019-05-08,Materials,95140000.0,48840000.0,,,,-152.46,1.24,-78.27,-6.15
POS,2019-05-09,Materials,92490000.0,48840000.0,,,,-148.23,1.21,-78.27,-6.15
POS,2019-05-10,Materials,97780000.0,48840000.0,,,,-156.7,1.28,-78.27,-6.15
POS,2019-05-13,Materials,97780000.0,54120000.0,,,,-156.7,1.28,-86.74,-6.81
POS,2019-05-14,Materials,97780000.0,54120000.0,,,,-156.7,1.28,-86.74,-6.81
POS,2019-05-15,Materials,97780000.0,54120000.0,,,,-156.7,1.28,-86.74,-6.81
POS,2019-05-16,Materials,97780000.0,54120000.0,,,,-156.7,1.28,-86.74,-6.81
POS,2019-05-17,Materials,100420000.0,54120000.0,,,,-160.93,1.31,-86.74,-6.81
POS,2019-05-20,Materials,95140000.0,56770000.0,,,,-152.46,1.24,-90.97,-7.14
POS,2019-05-21,Materials,97780000.0,56770000.0,,,,-156.7,1.28,-90.97,-7.14
POS,2019-05-22,Materials,92490000.0,51480000.0,,,,-148.23,1.21,-82.5,-6.48
POS,2019-05-23,Materials,95140000.0,51480000.0,,,,-152.46,1.24,-82.5,-6.48
POS,2019-05-27,Materials,97780000.0,48840000.0,,,,-156.7,1.28,-78.27,-6.15
POS,2019-05-28,Materials,97780000.0,48840000.0,,,,-156.7,1.28,-78.27,-6.15
POS,2019-05-29,Materials,103070000.0,48840000.0,,,,-165.17,1.34,-78.27,-6.15
POS,2019-05-30,Materials,97780000.0,48840000.0,,,,-156.7,1.28,-78.27,-6.15
POS,2019-06-01,Materials,97780000.0,48840000.0,,,,-156.7,1.28,-78.27,-6.15
POS,2019-06-03,Materials,97780000.0,54120000.0,,,,-156.7,1.28,-86.74,-6.81
POS,2019-06-04,Materials,97780000.0,54120000.0,,,,-156.7,1.28,-86.74,-6.81
POS,2019-06-05,Materials,100420000.0,54120000.0,,,,-160.93,1.31,-86.74,-6.81
POS,2019-06-06,Materials,97780000.0,56770000.0,,,,-156.7,1.28,-90.97,-7.14
