asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
PPC,2019-05-06,Real Estate,483300000.0,699360000.0,9.71,,,1.78,0.9,2.57,11.82
PPC,2019-05-07,Real Estate,483300000.0,699360000.0,9.71,,,1.78,0.9,2.57,11.82
PPC,2019-05-08,Real Estate,483300000.0,699360000.0,9.71,,,1.78,0.9,2.57,11.82
PPC,2019-05-09,Real Estate,480880000.0,699360000.0,9.66,,,1.77,0.89,2.57,11.82
PPC,2019-05-10,Real Estate,473630000.0,699360000.0,9.51,,,1.74,0.88,2.57,11.82
PPC,2019-05-13,Real Estate,483300000.0,689690000.0,9.71,,,1.78,0.9,2.54,11.66
PPC,2019-05-14,Real Estate,490550000.0,699360000.0,9.85,,,1.8,0.91,2.57,11.82
PPC,2019-05-15,Real Estate,483300000.0,699360000.0,9.71,,,1.78,0.9,2.57,11.82
PPC,2019-05-16,Real Estate,488130000.0,699360000.0,9.81,,,1.8,0.91,2.57,11.82
PPC,2019-05-17,Real Estate,502630000.0,704190000.0,10.1,,,1.85,0.93,2.59,11.9
PPC,2019-05-20,Real Estate,507460000.0,718700000.0,10.19,,,1.87,0.94,2.64,12.15
PPC,2019-05-21,Real Estate,517130000.0,718700000.0,10.39,,,1.9,0.96,2.64,12.15
PPC,2019-05-22,Real Estate,565460000.0,723540000.0,11.36,,,2.08,1.05,2.66,12.23
PPC,2019-05-23,Real Estate,536460000.0,723540000.0,10.78,,,1.97,1.0,2.66,12.23
PPC,2019-05-27,Real Estate,536460000.0,723540000.0,10.78,,,1.97,1.0,2.66,12.23
PPC,2019-05-28,Real Estate,563040000.0,723540000.0,11.31,,,2.07,1.05,2.66,12.23
PPC,2019-05-29,Real Estate,560630000.0,723540000.0,11.26,,,2.06,1.04,2.66,12.23
PPC,2019-05-30,Real Estate,558210000.0,723540000.0,11.21,,,2.05,1.04,2.66,12.23
PPC,2019-06-01,Real Estate,563040000.0,723540000.0,11.31,,,2.07,1.05,2.66,12.23
PPC,2019-06-03,Real Estate,563040000.0,779140000.0,11.31,,,2.07,1.05,2.87,13.17
PPC,2019-06-04,Real Estate,536460000.0,779140000.0,10.78,,,1.97,1.0,2.87,13.17
PPC,2019-06-05,Real Estate,555800000.0,779140000.0,11.17,,,2.04,1.03,2.87,13.17
PPC,2019-06-06,Real Estate,555800000.0,771890000.0,11.17,,,2.04,1.03,2.84,13.05
