asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
PSA,2019-05-06,Energy,24330000.0,30110000.0,,,,7.74,22.0,9.58,-9.36
PSA,2019-05-07,Energy,24330000.0,30110000.0,,,,7.74,22.0,9.58,-9.36
PSA,2019-05-08,Energy,22850000.0,30110000.0,,,,7.27,20.67,9.58,-9.36
PSA,2019-05-09,Energy,23220000.0,31210000.0,,,,7.39,21.0,9.93,-9.7
PSA,2019-05-10,Energy,23220000.0,31210000.0,,,,7.39,21.0,9.93,-9.7
PSA,2019-05-13,Energy,25800000.0,30110000.0,,,,8.21,23.33,9.58,-9.36
PSA,2019-05-14,Energy,25800000.0,32690000.0,,,,8.21,23.33,10.4,-10.16
PSA,2019-05-15,Energy,25060000.0,32690000.0,,,,7.98,22.67,10.4,-10.16
PSA,2019-05-16,Energy,25060000.0,32690000.0,,,,7.98,22.67,10.4,-10.16
PSA,2019-05-17,Energy,25060000.0,31950000.0,,,,7.98,22.67,10.17,-9.93
PSA,2019-05-27,Energy,25510000.0,32690000.0,,,,8.12,21.33,10.4,-10.16
PSA,2019-05-28,Energy,27100000.0,32690000.0,,,,8.63,22.67,10.4,-10.16
PSA,2019-05-29,Energy,27100000.0,32690000.0,,,,8.63,22.67,10.4,-10.16
PSA,2019-05-30,Energy,26710000.0,32690000.0,,,,8.5,22.33,10.4,-10.16
PSA,2019-06-01,Energy,26710000.0,32690000.0,,,,8.5,22.33,10.4,-10.16
PSA,2019-06-03,Energy,25510000.0,32690000.0,,,,8.12,21.33,10.4,-10.16
PSA,2019-06-04,Energy,24710000.0,31580000.0,,,,7.87,20.67,10.05,-9.81
PSA,2019-06-05,Energy,24310000.0,31580000.0,,,,7.74,20.33,10.05,-9.81
PSA,2019-06-06,Energy,24710000.0,29370000.0,,,,7.87,20.67,9.35,-9.13
