asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
PYC,2019-05-06,"Pharmaceuticals, Biotechnology & Life Sciences",58630000.0,48010000.0,,,,6731.19,6.0,5512.41,-6.18
PYC,2019-05-07,"Pharmaceuticals, Biotechnology & Life Sciences",58630000.0,48010000.0,,,,6731.19,6.0,5512.41,-6.18
PYC,2019-05-08,"Pharmaceuticals, Biotechnology & Life Sciences",58630000.0,48010000.0,,,,6731.19,6.0,5512.41,-6.18
PYC,2019-05-09,"Pharmaceuticals, Biotechnology & Life Sciences",56190000.0,48010000.0,,,,6450.72,5.75,5512.41,-6.18
PYC,2019-05-10,"Pharmaceuticals, Biotechnology & Life Sciences",56190000.0,48010000.0,,,,6450.72,5.75,5512.41,-6.18
PYC,2019-05-13,"Pharmaceuticals, Biotechnology & Life Sciences",63510000.0,45570000.0,,,,7292.12,6.5,5231.95,-5.86
PYC,2019-05-14,"Pharmaceuticals, Biotechnology & Life Sciences",63510000.0,52900000.0,,,,7292.12,6.5,6073.35,-6.8
PYC,2019-05-15,"Pharmaceuticals, Biotechnology & Life Sciences",63510000.0,52900000.0,,,,7292.12,6.5,6073.35,-6.8
PYC,2019-05-16,"Pharmaceuticals, Biotechnology & Life Sciences",63510000.0,52900000.0,,,,7292.12,6.5,6073.35,-6.8
PYC,2019-05-17,"Pharmaceuticals, Biotechnology & Life Sciences",65960000.0,52900000.0,,,,7572.59,6.75,6073.35,-6.8
PYC,2019-05-20,"Pharmaceuticals, Biotechnology & Life Sciences",63510000.0,55340000.0,,,,7292.12,6.5,6353.81,-7.12
PYC,2019-05-21,"Pharmaceuticals, Biotechnology & Life Sciences",61070000.0,55340000.0,,,,7011.65,6.25,6353.81,-7.12
PYC,2019-05-22,"Pharmaceuticals, Biotechnology & Life Sciences",61070000.0,52900000.0,,,,7011.65,6.25,6073.35,-6.8
PYC,2019-05-23,"Pharmaceuticals, Biotechnology & Life Sciences",61070000.0,52900000.0,,,,7011.65,6.25,6073.35,-6.8
PYC,2019-05-27,"Pharmaceuticals, Biotechnology & Life Sciences",58630000.0,43130000.0,,,,6731.19,6.0,4951.48,-5.55
PYC,2019-05-28,"Pharmaceuticals, Biotechnology & Life Sciences",58630000.0,43130000.0,,,,6731.19,6.0,4951.48,-5.55
PYC,2019-05-29,"Pharmaceuticals, Biotechnology & Life Sciences",58630000.0,43130000.0,,,,6731.19,6.0,4951.48,-5.55
PYC,2019-05-30,"Pharmaceuticals, Biotechnology & Life Sciences",63510000.0,43130000.0,,,,7292.12,6.5,4951.48,-5.55
PYC,2019-06-01,"Pharmaceuticals, Biotechnology & Life Sciences",63510000.0,43130000.0,,,,7292.12,6.5,4951.48,-5.55
PYC,2019-06-03,"Pharmaceuticals, Biotechnology & Life Sciences",63510000.0,52900000.0,,,,7292.12,6.5,6073.35,-6.8
PYC,2019-06-04,"Pharmaceuticals, Biotechnology & Life Sciences",65960000.0,52900000.0,,,,7572.59,6.75,6073.35,-6.8
PYC,2019-06-05,"Pharmaceuticals, Biotechnology & Life Sciences",63510000.0,52900000.0,,,,7292.12,6.5,6073.35,-6.8
PYC,2019-06-06,"Pharmaceuticals, Biotechnology & Life Sciences",61070000.0,52900000.0,,,,7011.65,6.25,6073.35,-6.8
