asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
QFY,2019-05-06,Technology Hardware & Equipment,6820000.0,4680000.0,,,,94.58,0.78,64.88,-0.81
QFY,2019-05-07,Technology Hardware & Equipment,5850000.0,4680000.0,,,,81.07,0.67,64.88,-0.81
QFY,2019-05-08,Technology Hardware & Equipment,6820000.0,4680000.0,,,,94.58,0.78,64.88,-0.81
QFY,2019-05-09,Technology Hardware & Equipment,6820000.0,3710000.0,,,,94.58,0.78,51.37,-0.64
QFY,2019-05-10,Technology Hardware & Equipment,7800000.0,3710000.0,,,,108.09,0.89,51.37,-0.64
QFY,2019-05-13,Technology Hardware & Equipment,9750000.0,5660000.0,,,,135.12,1.11,78.39,-0.98
QFY,2019-05-14,Technology Hardware & Equipment,7800000.0,7610000.0,,,,108.09,0.89,105.42,-1.32
QFY,2019-05-15,Technology Hardware & Equipment,7800000.0,7610000.0,,,,108.09,0.89,105.42,-1.32
QFY,2019-05-16,Technology Hardware & Equipment,6820000.0,7610000.0,,,,94.58,0.78,105.42,-1.32
QFY,2019-05-17,Technology Hardware & Equipment,7800000.0,4680000.0,,,,108.09,0.89,64.88,-0.81
QFY,2019-05-20,Technology Hardware & Equipment,6820000.0,5660000.0,,,,94.58,0.78,78.39,-0.98
QFY,2019-05-21,Technology Hardware & Equipment,7800000.0,5660000.0,,,,108.09,0.89,78.39,-0.98
QFY,2019-05-22,Technology Hardware & Equipment,6820000.0,4680000.0,,,,94.58,0.78,64.88,-0.81
QFY,2019-05-23,Technology Hardware & Equipment,6820000.0,4680000.0,,,,94.58,0.78,64.88,-0.81
QFY,2019-05-27,Technology Hardware & Equipment,6820000.0,4680000.0,,,,94.58,0.78,64.88,-0.81
QFY,2019-05-28,Technology Hardware & Equipment,6820000.0,4680000.0,,,,94.58,0.78,64.88,-0.81
QFY,2019-05-29,Technology Hardware & Equipment,6820000.0,4680000.0,,,,94.58,0.78,64.88,-0.81
QFY,2019-05-30,Technology Hardware & Equipment,5850000.0,4680000.0,,,,81.07,0.67,64.88,-0.81
QFY,2019-06-01,Technology Hardware & Equipment,6820000.0,4680000.0,,,,94.58,0.78,64.88,-0.81
QFY,2019-06-03,Technology Hardware & Equipment,6820000.0,4680000.0,,,,94.58,0.78,64.88,-0.81
QFY,2019-06-04,Technology Hardware & Equipment,6820000.0,4680000.0,,,,94.58,0.78,64.88,-0.81
QFY,2019-06-05,Technology Hardware & Equipment,4870000.0,4680000.0,,,,67.56,0.56,64.88,-0.81
QFY,2019-06-06,Technology Hardware & Equipment,5850000.0,2730000.0,,,,81.07,0.67,37.86,-0.47
