asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
QMS,2019-05-06,Media & Entertainment,228650000.0,340790000.0,15.22,,,1.44,1.04,2.15,8.02
QMS,2019-05-07,Media & Entertainment,228650000.0,340790000.0,15.22,,,1.44,1.04,2.15,8.02
QMS,2019-05-08,Media & Entertainment,236820000.0,339160000.0,15.76,,,1.49,1.08,2.14,7.98
QMS,2019-05-09,Media & Entertainment,228650000.0,339160000.0,15.22,,,1.44,1.04,2.14,7.98
QMS,2019-05-10,Media & Entertainment,231920000.0,347310000.0,15.43,,,1.46,1.06,2.19,8.18
QMS,2019-05-13,Media & Entertainment,231920000.0,342420000.0,15.43,,,1.46,1.06,2.16,8.06
QMS,2019-05-14,Media & Entertainment,241720000.0,342420000.0,16.09,,,1.52,1.1,2.16,8.06
QMS,2019-05-15,Media & Entertainment,231920000.0,352200000.0,15.43,,,1.46,1.06,2.22,8.29
QMS,2019-05-16,Media & Entertainment,230290000.0,342420000.0,15.33,,,1.45,1.05,2.16,8.06
QMS,2019-05-17,Media & Entertainment,230290000.0,342420000.0,15.33,,,1.45,1.05,2.16,8.06
QMS,2019-05-20,Media & Entertainment,228650000.0,340790000.0,15.22,,,1.44,1.04,2.15,8.02
QMS,2019-05-21,Media & Entertainment,231920000.0,340790000.0,15.43,,,1.46,1.06,2.15,8.02
QMS,2019-05-22,Media & Entertainment,230290000.0,340790000.0,15.33,,,1.45,1.05,2.15,8.02
QMS,2019-05-23,Media & Entertainment,238450000.0,340790000.0,15.87,,,1.5,1.09,2.15,8.02
QMS,2019-05-27,Media & Entertainment,235190000.0,348940000.0,15.65,,,1.48,1.07,2.2,8.21
QMS,2019-05-28,Media & Entertainment,244990000.0,348940000.0,16.3,,,1.54,1.12,2.2,8.21
QMS,2019-05-29,Media & Entertainment,251520000.0,348940000.0,16.74,,,1.58,1.15,2.2,8.21
QMS,2019-05-30,Media & Entertainment,261320000.0,348940000.0,17.39,,,1.65,1.19,2.2,8.21
QMS,2019-06-01,Media & Entertainment,266220000.0,348940000.0,17.72,,,1.68,1.22,2.2,8.21
QMS,2019-06-03,Media & Entertainment,256420000.0,376650000.0,17.07,,,1.62,1.17,2.37,8.87
QMS,2019-06-04,Media & Entertainment,248250000.0,376650000.0,16.52,,,1.56,1.13,2.37,8.87
QMS,2019-06-05,Media & Entertainment,251520000.0,358720000.0,16.74,,,1.58,1.15,2.26,8.44
QMS,2019-06-06,Media & Entertainment,246620000.0,358720000.0,16.41,,,1.55,1.13,2.26,8.44
