asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
RBL,2019-05-06,Retailing,259190000.0,197720000.0,,,,1.12,3.04,0.85,-15.46
RBL,2019-05-07,Retailing,255380000.0,197720000.0,,,,1.1,3.0,0.85,-15.46
RBL,2019-05-08,Retailing,242670000.0,197720000.0,,,,1.05,2.85,0.85,-15.46
RBL,2019-05-09,Retailing,,,,,,,,,
RBL,2019-05-10,Retailing,254100000.0,196450000.0,,,,1.1,2.99,0.85,-15.36
RBL,2019-05-13,Retailing,256650000.0,195180000.0,,,,1.11,3.01,0.84,-15.26
RBL,2019-05-14,Retailing,264270000.0,197720000.0,,,,1.14,3.1,0.85,-15.46
RBL,2019-05-15,Retailing,279520000.0,197720000.0,,,,1.21,3.28,0.85,-15.46
RBL,2019-05-16,Retailing,288410000.0,197720000.0,,,,1.25,3.39,0.85,-15.46
RBL,2019-05-17,Retailing,282060000.0,229480000.0,,,,1.22,3.31,0.99,-17.94
RBL,2019-05-20,Retailing,289680000.0,223130000.0,,,,1.25,3.4,0.96,-17.44
RBL,2019-05-21,Retailing,282060000.0,223130000.0,,,,1.22,3.31,0.96,-17.44
RBL,2019-05-22,Retailing,266810000.0,230750000.0,,,,1.15,3.13,1.0,-18.04
RBL,2019-05-23,Retailing,256650000.0,230750000.0,,,,1.11,3.01,1.0,-18.04
RBL,2019-05-27,Retailing,254100000.0,230750000.0,,,,1.1,2.99,1.0,-18.04
RBL,2019-05-28,Retailing,259190000.0,230750000.0,,,,1.12,3.04,1.0,-18.04
RBL,2019-05-29,Retailing,271890000.0,230750000.0,,,,1.17,3.19,1.0,-18.04
RBL,2019-05-30,Retailing,264270000.0,230750000.0,,,,1.14,3.1,1.0,-18.04
RBL,2019-06-01,Retailing,271890000.0,230750000.0,,,,1.17,3.19,1.0,-18.04
RBL,2019-06-03,Retailing,261730000.0,230750000.0,,,,1.13,3.07,1.0,-18.04
RBL,2019-06-04,Retailing,252830000.0,202800000.0,,,,1.09,2.97,0.88,-15.85
RBL,2019-06-05,Retailing,251560000.0,202800000.0,,,,1.09,2.96,0.88,-15.85
RBL,2019-06-06,Retailing,241400000.0,192640000.0,,,,1.04,2.84,0.83,-15.06
