asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
RCL,2019-05-06,Media & Entertainment,27200000.0,25600000.0,,,,8.27,4.84,7.78,-13.24
RCL,2019-05-07,Media & Entertainment,29840000.0,25600000.0,,,,9.07,5.31,7.78,-13.24
RCL,2019-05-08,Media & Entertainment,29400000.0,25600000.0,,,,8.94,5.23,7.78,-13.24
RCL,2019-05-09,Media & Entertainment,29840000.0,26910000.0,,,,9.07,5.31,8.19,-13.93
RCL,2019-05-10,Media & Entertainment,30710000.0,26910000.0,,,,9.34,5.47,8.19,-13.93
RCL,2019-05-13,Media & Entertainment,30710000.0,27790000.0,,,,9.34,5.47,8.45,-14.38
RCL,2019-05-14,Media & Entertainment,32470000.0,27790000.0,,,,9.88,5.78,8.45,-14.38
RCL,2019-05-15,Media & Entertainment,34220000.0,27790000.0,,,,10.41,6.09,8.45,-14.38
RCL,2019-05-16,Media & Entertainment,34220000.0,27790000.0,,,,10.41,6.09,8.45,-14.38
RCL,2019-05-17,Media & Entertainment,29840000.0,31300000.0,,,,9.07,5.31,9.52,-16.2
RCL,2019-05-20,Media & Entertainment,30180000.0,26910000.0,,,,9.18,5.31,8.19,-13.93
RCL,2019-05-21,Media & Entertainment,30180000.0,26910000.0,,,,9.18,5.31,8.19,-13.93
RCL,2019-05-22,Media & Entertainment,32390000.0,26910000.0,,,,9.85,5.7,8.19,-13.93
RCL,2019-05-23,Media & Entertainment,30180000.0,26910000.0,,,,9.18,5.31,8.19,-13.93
RCL,2019-05-27,Media & Entertainment,30180000.0,26910000.0,,,,9.18,5.31,8.19,-13.93
RCL,2019-05-28,Media & Entertainment,30180000.0,26910000.0,,,,9.18,5.31,8.19,-13.93
RCL,2019-05-29,Media & Entertainment,29290000.0,26910000.0,,,,8.91,5.16,8.19,-13.93
RCL,2019-05-30,Media & Entertainment,29290000.0,26910000.0,,,,8.91,5.16,8.19,-13.93
RCL,2019-06-01,Media & Entertainment,28400000.0,26910000.0,,,,8.64,5.0,8.19,-13.93
