asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
REG,2019-05-06,Health Care Equipment & Services,962090000.0,1310000000.0,19.16,,,1.56,5.45,2.12,11.47
REG,2019-05-07,Health Care Equipment & Services,953070000.0,1290000000.0,18.98,,,1.55,5.4,2.09,11.28
REG,2019-05-08,Health Care Equipment & Services,941050000.0,1290000000.0,18.74,,,1.53,5.33,2.09,11.28
REG,2019-05-09,Health Care Equipment & Services,941050000.0,1270000000.0,18.74,,,1.53,5.33,2.06,11.1
REG,2019-05-10,Health Care Equipment & Services,950070000.0,1270000000.0,18.92,,,1.54,5.38,2.06,11.1
REG,2019-05-13,Health Care Equipment & Services,971110000.0,1280000000.0,19.34,,,1.57,5.5,2.07,11.18
REG,2019-05-14,Health Care Equipment & Services,950070000.0,1280000000.0,18.92,,,1.54,5.38,2.07,11.18
REG,2019-05-15,Health Care Equipment & Services,947060000.0,1280000000.0,18.86,,,1.54,5.37,2.07,11.18
REG,2019-05-16,Health Care Equipment & Services,944050000.0,1270000000.0,18.8,,,1.53,5.35,2.07,11.15
REG,2019-05-17,Health Care Equipment & Services,941050000.0,1270000000.0,18.74,,,1.53,5.33,2.07,11.15
REG,2019-05-20,Health Care Equipment & Services,938040000.0,1270000000.0,18.68,,,1.52,5.32,2.06,11.1
REG,2019-05-21,Health Care Equipment & Services,938040000.0,1270000000.0,18.68,,,1.52,5.32,2.06,11.1
REG,2019-05-22,Health Care Equipment & Services,938040000.0,1270000000.0,18.68,,,1.52,5.32,2.06,11.1
REG,2019-05-23,Health Care Equipment & Services,932030000.0,1270000000.0,18.56,,,1.51,5.28,2.05,11.07
REG,2019-05-27,Health Care Equipment & Services,926010000.0,1240000000.0,18.44,,,1.5,5.25,2.01,10.86
REG,2019-05-28,Health Care Equipment & Services,923010000.0,1240000000.0,18.38,,,1.5,5.23,2.01,10.86
REG,2019-05-29,Health Care Equipment & Services,907980000.0,1250000000.0,18.08,,,1.47,5.14,2.03,10.94
REG,2019-05-30,Health Care Equipment & Services,920000000.0,1250000000.0,18.32,,,1.49,5.21,2.03,10.94
REG,2019-06-01,Health Care Equipment & Services,910980000.0,1250000000.0,18.14,,,1.48,5.16,2.02,10.91
REG,2019-06-03,Health Care Equipment & Services,895950000.0,1240000000.0,17.84,,,1.45,5.08,2.01,10.83
REG,2019-06-04,Health Care Equipment & Services,865880000.0,1220000000.0,17.25,,,1.4,4.91,1.98,10.7
REG,2019-06-05,Health Care Equipment & Services,823790000.0,1220000000.0,16.41,,,1.34,4.67,1.98,10.7
REG,2019-06-06,Health Care Equipment & Services,769670000.0,1150000000.0,15.33,,,1.25,4.36,1.87,10.07
