asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
RES,2019-05-06,Energy,58120000.0,134500000.0,,,,226.16,0.5,523.33,-23.56
RES,2019-05-07,Energy,52890000.0,134500000.0,,,,205.81,0.45,523.33,-23.56
RES,2019-05-08,Energy,56960000.0,134500000.0,,,,221.64,0.49,523.33,-23.56
RES,2019-05-09,Energy,57540000.0,134500000.0,,,,223.9,0.49,523.33,-23.56
RES,2019-05-10,Energy,58120000.0,133920000.0,,,,226.16,0.5,521.07,-23.45
RES,2019-05-13,Energy,58120000.0,134500000.0,,,,226.16,0.5,523.33,-23.56
RES,2019-05-14,Energy,58120000.0,134500000.0,,,,226.16,0.5,523.33,-23.56
RES,2019-05-15,Energy,58120000.0,134500000.0,,,,226.16,0.5,523.33,-23.56
RES,2019-05-16,Energy,58120000.0,134500000.0,,,,226.16,0.5,523.33,-23.56
RES,2019-05-17,Energy,56380000.0,134500000.0,,,,219.38,0.48,523.33,-23.56
RES,2019-05-20,Energy,58120000.0,132750000.0,,,,226.16,0.5,516.55,-23.25
RES,2019-05-21,Energy,56960000.0,132750000.0,,,,221.64,0.49,516.55,-23.25
RES,2019-05-22,Energy,61030000.0,132750000.0,,,,237.47,0.52,516.55,-23.25
RES,2019-05-23,Energy,69750000.0,132750000.0,,,,271.4,0.6,516.55,-23.25
RES,2019-05-27,Energy,84280000.0,146120000.0,,,,327.94,0.72,568.57,-25.59
RES,2019-05-28,Energy,90090000.0,146120000.0,,,,350.56,0.77,568.57,-25.59
RES,2019-05-29,Energy,87190000.0,146120000.0,,,,339.25,0.75,568.57,-25.59
RES,2019-05-30,Energy,87190000.0,146120000.0,,,,339.25,0.75,568.57,-25.59
RES,2019-06-01,Energy,87190000.0,146120000.0,,,,339.25,0.75,568.57,-25.59
RES,2019-06-03,Energy,104620000.0,163560000.0,,,,407.1,0.9,636.41,-28.64
RES,2019-06-04,Energy,107530000.0,163560000.0,,,,418.41,0.92,636.41,-28.64
RES,2019-06-05,Energy,101720000.0,183900000.0,,,,395.79,0.87,715.57,-32.21
RES,2019-06-06,Energy,104620000.0,183900000.0,,,,407.1,0.9,715.57,-32.21
