asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
RFX,2019-05-06,Capital Goods,28500000.0,21710000.0,,,,30.28,1.82,23.07,-1.84
RFX,2019-05-07,Capital Goods,29220000.0,21710000.0,,,,31.04,1.86,23.07,-1.84
RFX,2019-05-08,Capital Goods,27790000.0,20640000.0,,,,29.52,1.77,21.93,-1.75
RFX,2019-05-09,Capital Goods,29220000.0,20640000.0,,,,31.04,1.86,21.93,-1.75
RFX,2019-05-10,Capital Goods,28500000.0,19930000.0,,,,30.28,1.82,21.17,-1.69
RFX,2019-05-13,Capital Goods,28500000.0,20640000.0,,,,30.28,1.82,21.93,-1.75
RFX,2019-05-14,Capital Goods,28500000.0,20640000.0,,,,30.28,1.82,21.93,-1.75
RFX,2019-05-15,Capital Goods,27080000.0,20640000.0,,,,28.77,1.73,21.93,-1.75
RFX,2019-05-16,Capital Goods,27790000.0,19220000.0,,,,29.52,1.77,20.42,-1.63
RFX,2019-05-17,Capital Goods,33490000.0,19220000.0,,,,35.58,2.14,20.42,-1.63
RFX,2019-05-20,Capital Goods,32780000.0,25630000.0,,,,34.82,2.09,27.23,-2.17
RFX,2019-05-21,Capital Goods,33490000.0,25630000.0,,,,35.58,2.14,27.23,-2.17
RFX,2019-05-22,Capital Goods,34920000.0,25630000.0,,,,37.09,2.23,27.23,-2.17
RFX,2019-05-23,Capital Goods,34210000.0,25630000.0,,,,36.34,2.18,27.23,-2.17
RFX,2019-05-27,Capital Goods,39910000.0,26340000.0,,,,42.39,2.55,27.99,-2.23
RFX,2019-05-28,Capital Goods,34920000.0,26340000.0,,,,37.09,2.23,27.99,-2.23
RFX,2019-05-29,Capital Goods,34210000.0,26340000.0,,,,36.34,2.18,27.99,-2.23
RFX,2019-05-30,Capital Goods,35630000.0,26340000.0,,,,37.85,2.27,27.99,-2.23
RFX,2019-06-01,Capital Goods,31360000.0,26340000.0,,,,33.31,2.0,27.99,-2.23
RFX,2019-06-03,Capital Goods,29220000.0,23490000.0,,,,31.04,1.86,24.96,-1.99
RFX,2019-06-04,Capital Goods,29930000.0,23490000.0,,,,31.79,1.91,24.96,-1.99
RFX,2019-06-05,Capital Goods,29930000.0,22070000.0,,,,31.79,1.91,23.44,-1.87
RFX,2019-06-06,Capital Goods,30640000.0,22070000.0,,,,32.55,1.95,23.44,-1.87
