asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
RHT,2019-05-06,Health Care Equipment & Services,52320000.0,48170000.0,43.33,,,15.3,10.0,14.09,60.26
RHT,2019-05-07,Health Care Equipment & Services,56350000.0,48170000.0,46.67,,,16.48,10.77,14.09,60.26
RHT,2019-05-08,Health Care Equipment & Services,56350000.0,48170000.0,46.67,,,16.48,10.77,14.09,60.26
RHT,2019-05-09,Health Care Equipment & Services,58360000.0,54210000.0,48.33,,,17.07,11.15,15.85,67.81
RHT,2019-05-10,Health Care Equipment & Services,54920000.0,54210000.0,43.33,,,16.06,10.0,15.85,67.81
RHT,2019-05-13,Health Care Equipment & Services,50700000.0,50180000.0,40.0,,,14.83,9.23,14.67,62.77
RHT,2019-05-14,Health Care Equipment & Services,50700000.0,46160000.0,40.0,,,14.83,9.23,13.5,57.74
RHT,2019-05-15,Health Care Equipment & Services,50700000.0,46160000.0,40.0,,,14.83,9.23,13.5,57.74
RHT,2019-05-16,Health Care Equipment & Services,52810000.0,46160000.0,41.67,,,15.44,9.62,13.5,57.74
RHT,2019-05-17,Health Care Equipment & Services,54920000.0,48170000.0,43.33,,,16.06,10.0,14.09,60.26
RHT,2019-05-20,Health Care Equipment & Services,52810000.0,50180000.0,41.67,,,15.44,9.62,14.67,62.77
RHT,2019-05-21,Health Care Equipment & Services,52810000.0,50180000.0,41.67,,,15.44,9.62,14.67,62.77
RHT,2019-05-22,Health Care Equipment & Services,50700000.0,48170000.0,40.0,,,14.83,9.23,14.09,60.26
RHT,2019-05-23,Health Care Equipment & Services,51540000.0,48170000.0,40.67,,,15.07,9.38,14.09,60.26
RHT,2019-05-27,Health Care Equipment & Services,50700000.0,48170000.0,40.0,,,14.83,9.23,14.09,60.26
RHT,2019-05-28,Health Care Equipment & Services,50700000.0,48170000.0,40.0,,,14.83,9.23,14.09,60.26
RHT,2019-05-29,Health Care Equipment & Services,48590000.0,48170000.0,38.33,,,14.21,8.85,14.09,60.26
RHT,2019-05-30,Health Care Equipment & Services,46470000.0,48170000.0,36.67,,,13.59,8.46,14.09,60.26
RHT,2019-06-01,Health Care Equipment & Services,46470000.0,48170000.0,36.67,,,13.59,8.46,14.09,60.26
RHT,2019-06-03,Health Care Equipment & Services,44360000.0,48170000.0,35.0,,,12.97,8.08,14.09,60.26
RHT,2019-06-04,Health Care Equipment & Services,44360000.0,40120000.0,35.0,,,12.97,8.08,11.73,50.19
RHT,2019-06-05,Health Care Equipment & Services,46470000.0,40120000.0,36.67,,,13.59,8.46,11.73,50.19
RHT,2019-06-06,Health Care Equipment & Services,44360000.0,42130000.0,35.0,,,12.97,8.08,12.32,52.7
