asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
RHY,2019-05-06,Health Care Equipment & Services,18140000.0,12750000.0,,,,63.9,2.65,44.93,-4.85
RHY,2019-05-07,Health Care Equipment & Services,18640000.0,12750000.0,,,,65.68,2.72,44.93,-4.85
RHY,2019-05-08,Health Care Equipment & Services,17630000.0,12750000.0,,,,62.13,2.57,44.93,-4.85
RHY,2019-05-09,Health Care Equipment & Services,17630000.0,12250000.0,,,,62.13,2.57,43.15,-4.65
RHY,2019-05-10,Health Care Equipment & Services,18140000.0,12250000.0,,,,63.9,2.65,43.15,-4.65
RHY,2019-05-13,Health Care Equipment & Services,17630000.0,11740000.0,,,,62.13,2.57,41.38,-4.46
RHY,2019-05-14,Health Care Equipment & Services,18640000.0,11240000.0,,,,65.68,2.72,39.6,-4.27
RHY,2019-05-15,Health Care Equipment & Services,17130000.0,11240000.0,,,,60.35,2.5,39.6,-4.27
RHY,2019-05-16,Health Care Equipment & Services,17130000.0,11240000.0,,,,60.35,2.5,39.6,-4.27
RHY,2019-05-17,Health Care Equipment & Services,17130000.0,10730000.0,,,,60.35,2.5,37.83,-4.08
RHY,2019-05-20,Health Care Equipment & Services,17630000.0,10730000.0,,,,62.13,2.57,37.83,-4.08
RHY,2019-05-21,Health Care Equipment & Services,17630000.0,10730000.0,,,,62.13,2.57,37.83,-4.08
RHY,2019-05-22,Health Care Equipment & Services,17630000.0,11240000.0,,,,62.13,2.57,39.6,-4.27
RHY,2019-05-23,Health Care Equipment & Services,18640000.0,11240000.0,,,,65.68,2.72,39.6,-4.27
RHY,2019-06-03,Health Care Equipment & Services,16120000.0,11240000.0,,,,56.8,2.35,39.6,-4.27
RHY,2019-06-04,Health Care Equipment & Services,16120000.0,9730000.0,,,,56.8,2.35,34.28,-3.7
RHY,2019-06-05,Health Care Equipment & Services,16120000.0,9730000.0,,,,56.8,2.35,34.28,-3.7
RHY,2019-06-06,Health Care Equipment & Services,16620000.0,9730000.0,,,,58.58,2.43,34.28,-3.7
