asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
RNT,2019-05-13,Media & Entertainment,8270000.0,6960000.0,,,,3.55,3.5,2.99,-2.96
RNT,2019-05-14,Media & Entertainment,8270000.0,7200000.0,,,,3.55,3.5,3.09,-3.06
RNT,2019-05-15,Media & Entertainment,8270000.0,7200000.0,,,,3.55,3.5,3.09,-3.06
RNT,2019-05-16,Media & Entertainment,7560000.0,7200000.0,,,,3.25,3.2,3.09,-3.06
RNT,2019-05-17,Media & Entertainment,7800000.0,6490000.0,,,,3.35,3.3,2.78,-2.76
RNT,2019-05-20,Media & Entertainment,8230000.0,6720000.0,,,,3.53,3.3,2.89,-2.86
RNT,2019-05-21,Media & Entertainment,8230000.0,6720000.0,,,,3.53,3.3,2.89,-2.86
RNT,2019-05-22,Media & Entertainment,8230000.0,6720000.0,,,,3.53,3.3,2.89,-2.86
RNT,2019-05-23,Media & Entertainment,8230000.0,6720000.0,,,,3.53,3.3,2.89,-2.86
RNT,2019-05-27,Media & Entertainment,7980000.0,6720000.0,,,,3.43,3.2,2.89,-2.86
RNT,2019-05-28,Media & Entertainment,7480000.0,6720000.0,,,,3.21,3.0,2.89,-2.86
RNT,2019-05-29,Media & Entertainment,7480000.0,6720000.0,,,,3.21,3.0,2.89,-2.86
RNT,2019-05-30,Media & Entertainment,7240000.0,6720000.0,,,,3.11,2.9,2.89,-2.86
RNT,2019-06-01,Media & Entertainment,7240000.0,6720000.0,,,,3.11,2.9,2.89,-2.86
RNT,2019-06-03,Media & Entertainment,7240000.0,6720000.0,,,,3.11,2.9,2.89,-2.86
RNT,2019-06-04,Media & Entertainment,6990000.0,5780000.0,,,,3.0,2.8,2.48,-2.46
RNT,2019-06-05,Media & Entertainment,6740000.0,5780000.0,,,,2.89,2.7,2.48,-2.46
RNT,2019-06-06,Media & Entertainment,6740000.0,5300000.0,,,,2.89,2.7,2.28,-2.26
