asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
RVS,2019-05-06,Semiconductors & Semiconductor Equipment,99510000.0,75020000.0,,,,3.65,2.84,2.75,133.25
RVS,2019-05-07,Semiconductors & Semiconductor Equipment,99510000.0,75020000.0,,,,3.65,2.84,2.75,133.25
RVS,2019-05-08,Semiconductors & Semiconductor Equipment,95680000.0,75020000.0,,,,3.51,2.74,2.75,133.25
RVS,2019-05-09,Semiconductors & Semiconductor Equipment,96450000.0,75020000.0,,,,3.54,2.76,2.75,133.25
RVS,2019-05-10,Semiconductors & Semiconductor Equipment,102950000.0,75020000.0,,,,3.77,2.94,2.75,133.25
RVS,2019-05-13,Semiconductors & Semiconductor Equipment,102950000.0,78460000.0,,,,3.77,2.94,2.88,139.36
RVS,2019-05-14,Semiconductors & Semiconductor Equipment,99510000.0,78460000.0,,,,3.65,2.84,2.88,139.36
RVS,2019-05-15,Semiconductors & Semiconductor Equipment,99510000.0,78460000.0,,,,3.65,2.84,2.88,139.36
RVS,2019-05-16,Semiconductors & Semiconductor Equipment,101810000.0,78460000.0,,,,3.73,2.91,2.88,139.36
RVS,2019-05-17,Semiconductors & Semiconductor Equipment,106780000.0,77310000.0,,,,3.91,3.05,2.83,137.33
RVS,2019-05-20,Semiconductors & Semiconductor Equipment,110610000.0,82290000.0,,,,4.06,3.16,3.02,146.16
RVS,2019-05-21,Semiconductors & Semiconductor Equipment,117880000.0,82290000.0,,,,4.32,3.37,3.02,146.16
RVS,2019-05-22,Semiconductors & Semiconductor Equipment,115360000.0,93380000.0,,,,4.23,3.3,3.42,165.86
RVS,2019-05-23,Semiconductors & Semiconductor Equipment,109840000.0,93380000.0,,,,4.03,3.14,3.42,165.86
RVS,2019-05-27,Semiconductors & Semiconductor Equipment,109840000.0,93380000.0,,,,4.03,3.14,3.42,165.86
RVS,2019-05-28,Semiconductors & Semiconductor Equipment,112520000.0,93380000.0,,,,4.13,3.22,3.42,165.86
RVS,2019-05-29,Semiconductors & Semiconductor Equipment,109460000.0,93380000.0,,,,4.01,3.13,3.42,165.86
RVS,2019-05-30,Semiconductors & Semiconductor Equipment,112140000.0,93380000.0,,,,4.11,3.21,3.42,165.86
RVS,2019-06-01,Semiconductors & Semiconductor Equipment,112140000.0,93380000.0,,,,4.11,3.21,3.42,165.86
RVS,2019-06-03,Semiconductors & Semiconductor Equipment,109840000.0,93380000.0,,,,4.03,3.14,3.42,165.86
RVS,2019-06-04,Semiconductors & Semiconductor Equipment,107160000.0,85350000.0,,,,3.93,3.06,3.13,151.6
RVS,2019-06-05,Semiconductors & Semiconductor Equipment,112520000.0,85350000.0,,,,4.13,3.22,3.13,151.6
RVS,2019-06-06,Semiconductors & Semiconductor Equipment,112140000.0,88030000.0,,,,4.11,3.21,3.23,156.35
