asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
RZI,2019-05-06,Diversified Financials,36860000.0,25690000.0,,,,10.54,1.24,7.34,-2.33
RZI,2019-05-07,Diversified Financials,34130000.0,25690000.0,,,,9.76,1.15,7.34,-2.33
RZI,2019-05-08,Diversified Financials,34130000.0,25690000.0,,,,9.76,1.15,7.34,-2.33
RZI,2019-05-09,Diversified Financials,33450000.0,24660000.0,,,,9.56,1.12,7.05,-2.23
RZI,2019-05-10,Diversified Financials,34130000.0,24660000.0,,,,9.76,1.15,7.05,-2.23
RZI,2019-05-13,Diversified Financials,35150000.0,24660000.0,,,,10.05,1.18,7.05,-2.23
RZI,2019-05-14,Diversified Financials,34130000.0,24660000.0,,,,9.76,1.15,7.05,-2.23
RZI,2019-05-15,Diversified Financials,34810000.0,25690000.0,,,,9.95,1.17,7.34,-2.33
RZI,2019-05-16,Diversified Financials,33450000.0,25690000.0,,,,9.56,1.12,7.34,-2.33
RZI,2019-05-17,Diversified Financials,32760000.0,23980000.0,,,,9.37,1.1,6.86,-2.17
RZI,2019-05-20,Diversified Financials,33100000.0,23300000.0,,,,9.46,1.11,6.66,-2.11
RZI,2019-05-21,Diversified Financials,32760000.0,23300000.0,,,,9.37,1.1,6.66,-2.11
RZI,2019-05-22,Diversified Financials,32080000.0,23300000.0,,,,9.17,1.08,6.66,-2.11
RZI,2019-05-23,Diversified Financials,31400000.0,23300000.0,,,,8.98,1.06,6.66,-2.11
RZI,2019-05-27,Diversified Financials,31400000.0,23300000.0,,,,8.98,1.06,6.66,-2.11
RZI,2019-05-28,Diversified Financials,32080000.0,23300000.0,,,,9.17,1.08,6.66,-2.11
RZI,2019-05-29,Diversified Financials,32080000.0,23300000.0,,,,9.17,1.08,6.66,-2.11
RZI,2019-05-30,Diversified Financials,31740000.0,23300000.0,,,,9.07,1.07,6.66,-2.11
RZI,2019-06-01,Diversified Financials,31400000.0,23300000.0,,,,8.98,1.06,6.66,-2.11
RZI,2019-06-03,Diversified Financials,31400000.0,23300000.0,,,,8.98,1.06,6.66,-2.11
RZI,2019-06-04,Diversified Financials,31400000.0,21940000.0,,,,8.98,1.06,6.27,-1.99
RZI,2019-06-05,Diversified Financials,31060000.0,21940000.0,,,,8.88,1.04,6.27,-1.99
RZI,2019-06-06,Diversified Financials,30720000.0,21600000.0,,,,8.78,1.03,6.18,-1.96
