asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
S32,2019-05-06,Materials,16520000000.0,16130000000.0,12.0,,,2.07,1.55,2.03,7.68
S32,2019-05-07,Materials,16820000000.0,16130000000.0,12.22,,,2.11,1.58,2.03,7.68
S32,2019-05-08,Materials,16520000000.0,16080000000.0,12.0,,,2.07,1.55,2.02,7.65
S32,2019-05-09,Materials,16420000000.0,16080000000.0,11.93,,,2.06,1.54,2.02,7.65
S32,2019-05-10,Materials,16470000000.0,16080000000.0,11.96,,,2.07,1.54,2.02,7.65
S32,2019-05-13,Materials,16710000000.0,16030000000.0,12.15,,,2.1,1.57,2.01,7.63
S32,2019-05-14,Materials,17010000000.0,16030000000.0,12.36,,,2.14,1.6,2.01,7.63
S32,2019-05-15,Materials,17320000000.0,16590000000.0,12.58,,,2.17,1.62,2.08,7.89
S32,2019-05-16,Materials,17620000000.0,16890000000.0,12.8,,,2.21,1.65,2.12,8.04
S32,2019-05-17,Materials,17620000000.0,16890000000.0,12.8,,,2.21,1.65,2.12,8.04
S32,2019-05-20,Materials,17560000000.0,17200000000.0,12.76,,,2.2,1.65,2.16,8.18
S32,2019-05-21,Materials,17310000000.0,17200000000.0,12.58,,,2.17,1.62,2.16,8.18
S32,2019-05-22,Materials,17410000000.0,17200000000.0,12.65,,,2.18,1.63,2.16,8.18
S32,2019-05-23,Materials,17260000000.0,17200000000.0,12.55,,,2.17,1.62,2.16,8.18
S32,2019-05-27,Materials,17310000000.0,16840000000.0,12.58,,,2.17,1.62,2.11,8.01
S32,2019-05-28,Materials,17200000000.0,16840000000.0,12.51,,,2.16,1.61,2.11,8.01
S32,2019-05-29,Materials,16800000000.0,16840000000.0,12.22,,,2.11,1.58,2.11,8.01
S32,2019-05-30,Materials,16450000000.0,16840000000.0,11.96,,,2.06,1.54,2.11,8.01
S32,2019-06-01,Materials,16600000000.0,16840000000.0,12.07,,,2.08,1.56,2.11,8.01
S32,2019-06-03,Materials,16340000000.0,16180000000.0,11.89,,,2.05,1.53,2.03,7.7
S32,2019-06-04,Materials,16190000000.0,16180000000.0,11.78,,,2.03,1.52,2.03,7.7
S32,2019-06-05,Materials,16140000000.0,15780000000.0,11.75,,,2.03,1.52,1.98,7.51
S32,2019-06-06,Materials,15990000000.0,15780000000.0,11.64,,,2.01,1.5,1.98,7.51
