asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA
SCL,2019-05-06,Software & Services,5220000.0,3490000.0,,,,1.94,,1.29,-0.95
SCL,2019-05-07,Software & Services,5220000.0,3490000.0,,,,1.94,,1.29,-0.95
SCL,2019-05-08,Software & Services,4640000.0,3490000.0,,,,1.72,,1.29,-0.95
SCL,2019-05-09,Software & Services,4640000.0,3490000.0,,,,1.72,,1.29,-0.95
SCL,2019-05-10,Software & Services,6300000.0,3490000.0,,,,2.34,,1.29,-0.95
SCL,2019-05-13,Software & Services,6300000.0,2910000.0,,,,2.34,,1.08,-0.79
SCL,2019-05-14,Software & Services,7090000.0,2910000.0,,,,2.63,,1.08,-0.79
SCL,2019-05-15,Software & Services,7090000.0,2910000.0,,,,2.63,,1.08,-0.79
SCL,2019-05-16,Software & Services,6300000.0,2910000.0,,,,2.34,,1.08,-0.79
SCL,2019-05-17,Software & Services,6300000.0,2910000.0,,,,2.34,,1.08,-0.79
SCL,2019-05-20,Software & Services,6300000.0,2910000.0,,,,2.34,,1.08,-0.79
SCL,2019-05-21,Software & Services,7090000.0,2910000.0,,,,2.63,,1.08,-0.79
SCL,2019-05-22,Software & Services,7090000.0,3490000.0,,,,2.63,,1.29,-0.95
SCL,2019-05-23,Software & Services,7090000.0,3490000.0,,,,2.63,,1.29,-0.95
SCL,2019-05-27,Software & Services,7090000.0,3490000.0,,,,2.63,,1.29,-0.95
SCL,2019-05-28,Software & Services,7090000.0,3490000.0,,,,2.63,,1.29,-0.95
SCL,2019-05-29,Software & Services,7880000.0,3490000.0,,,,2.92,,1.29,-0.95
SCL,2019-05-30,Software & Services,7090000.0,3490000.0,,,,2.63,,1.29,-0.95
SCL,2019-06-01,Software & Services,7090000.0,3490000.0,,,,2.63,,1.29,-0.95
SCL,2019-06-03,Software & Services,7090000.0,3490000.0,,,,2.63,,1.29,-0.95
SCL,2019-06-04,Software & Services,7880000.0,3490000.0,,,,2.92,,1.29,-0.95
SCL,2019-06-05,Software & Services,7880000.0,3490000.0,,,,2.92,,1.29,-0.95
SCL,2019-06-06,Software & Services,7880000.0,3490000.0,,,,2.92,,1.29,-0.95
